title,authors,url,session,abstract_takeaway
(Sparse) Attention to the Details: Preserving Spectral Fidelity in ML-based Weather Forecasting Models,Maksim Zhdanov; Ana Lucic; Max Welling; Jan-Willem van de Meent,https://icml.cc/virtual/2026/poster/63776,,"Focuses on ml-based weather, weather forecasting, sparse attention, attention details, and details preserving."
A Cartesian-3j and nj Framework for Machine Learning Interatomic Potentials,Zemin Xu; Chenyu Wu; Wenbo Xie; Peijun Hu,https://icml.cc/virtual/2026/poster/65840,Poster Session 3,"Focuses on machine interatomic, interatomic potentials, cartesian-3j machine, potentials machine, and potentials mlips."
A Dirac-Frenkel-Onsager principle: Instantaneous residual minimization with gauge momentum for nonlinear parametrizations of PDE solutions,Matteo Raviola; Benjamin Peherstorfer,https://icml.cc/virtual/2026/poster/63088,Poster Session 3,"Focuses on instantaneous residual, residual minimization, nonlinear parametrizations, parametrizations pde, and pde solutions."
A recipe for scalable attention-based ML potentials: unlocking long-range accuracy with all-to-all node attention,Eric Qu; Brandon Wood; Aditi Krishnapriyan; Zachary Ulissi,https://icml.cc/virtual/2026/poster/61596,Poster Session 2,"Focuses on all-to-all node, node attention, recipe scalable, scalable attention-based, and attention-based potentials."
APIC: Orthogonalized Neuro-Symbolic Modeling for Nonlinear Dissipative Dynamics,Yanhui Zhu; Chen Zhao; Yinhao Li; Xiangfu Meng,https://icml.cc/virtual/2026/poster/60921,,"Focuses on nonlinear dissipative, apic orthogonalized, orthogonalized neuro-symbolic, neuro-symbolic modeling, and modeling nonlinear."
AutoMat: Physics-Guided Agentic Reasoning for Solving Ill-Posed Inverse Microscopy Problems,Yaotian Yang; Yiwen Tang; Yizhe Chen; Xiao Chen; Jiangjie Qiu; Hao Xiong; Haoyu Yin; Zhiyao Luo; Yifei Zhang; Sijia Tao; Wentao Li; Qinghua Zhang; Yuqiang Li; Wanli Ouyang; Bin Zhao; Xiaonan Wang; Fei Wei,https://icml.cc/virtual/2026/poster/63827,Poster Session 3,"Focuses on ill-posed inverse, crystal structures, automat physics-guided, physics-guided agentic, and agentic reasoning."
AutoMS: Multi-Agent Evolutionary Search for Cross-Physics Inverse Microstructure Design,Zhenyuan Zhao; Yu Xing; Tianyang Xue; Lingxin Cao; Xin Yan; Lin Lu,https://icml.cc/virtual/2026/poster/60501,Poster Session 5,"Focuses on evolutionary search, automs multi-agent, multi-agent evolutionary, search cross-physics, and cross-physics inverse."
Bayesian Rain Field Reconstruction using Commercial Microwave Links and Diffusion Model Priors,Badr MOUFAD; Albina Ilina; Hai Victor Habi; Salem Lahlou; Yazid Janati; HAGIT MESSER; Eric Moulines,https://icml.cc/virtual/2026/poster/64896,Poster Session 7,"Focuses on rain field, field reconstruction, commercial microwave, microwave links, and bayesian inverse."
Beyond Continuity: Simulation-free Reconstruction of Discrete Branching Dynamics from Single-cell Snapshots,Junda Ying; Yuxuan Wang; Bowen Yang; Peijie Zhou; Lei Zhang,https://icml.cc/virtual/2026/poster/64979,Poster Session 3,"Focuses on dynamics single-cell, single-cell resolution, discrete jump-like, schr dinger, and dinger bridge."
CARD: Coarse-to-fine Autoregressive Modeling with Radix-based Decomposition for Transferable Free Energy Estimation,Ziyang Yu; Yi He; Wenbing Huang; Wen Yan; Yang Liu,https://icml.cc/virtual/2026/poster/64712,Poster Session 3,"Focuses on free energy, coarse-to-fine autoregressive, autoregressive modeling, radix-based decomposition, and classical computational."
CatFlow: Co-generation of Slab-Adsorbate Systems via Flow Matching,Minkyu Kim; Nayoung Kim; Honghui Kim; Sungsoo Ahn,https://icml.cc/virtual/2026/poster/63492,Poster Session 7,"Focuses on heterogeneous catalysts, catflow co-generation, co-generation slab-adsorbate, slab-adsorbate systems, and systems flow."
Coarse-Grained Boltzmann Generators,Weilong Chen; Bojun Zhao; Jan Eckwert; Julija Zavadlav,https://icml.cc/virtual/2026/poster/65311,,"Focuses on boltzmann generators, coarse-grained boltzmann, importance sampling, generators sampling, and sampling equilibrium."
CoarseBind: Fast and Accurate Binding Affinity Prediction through Coarse Structural Representations,Matteo Rossi; Ryan Pederson; Miles Wang-Henderson; Benjamin Kaufman; Edward Williams; Carl Underkoffler; Owen Howell; Adrian Layer; Stephan Thaler; Narbe Mardirossian; John Parkhill,https://icml.cc/virtual/2026/poster/60675,Poster Session 1,"Focuses on binding affinity, affinity prediction, structural representations, prediction coarsebind, and drug discovery."
CocoRNA: Collective RNA Design with Cooperative Multi-agent Reinforcement Learning,Tianmeng Hu; Biao Luo; Ke Li,https://icml.cc/virtual/2026/poster/65353,Poster Session 3,"Focuses on cooperative multi-agent, multi-agent reinforcement, cocorna collective, collective rna, and rna cooperative."
Constrained hybrid modelling to predict microbial dynamics and organic matter turnover in soil systems,Paul Collart; Juergen Gall; Andrea Schnepf; Holger Pagel; Lars Doorenbos,https://icml.cc/virtual/2026/poster/63708,Poster Session 2,"Focuses on organic matter, microbial dynamics, matter turnover, soil systems, and process-based soil."
Contrastive Geometric Learning Unlocks Unified Structure- and Ligand-Based Drug Design,Lisa Schneckenreiter; Sohvi Luukkonen; Lukas Friedrich; Daniel Kuhn; Günter Klambauer,https://icml.cc/virtual/2026/poster/63420,Poster Session 3,"Focuses on contrastive geometric, structure- ligand-based, binding sites, ligand-conditioned pocket, and virtual screening."
Controllable Molecule Generation via Sparse Representation Editing: An Interpretability-Driven Perspective,Zhuoran Li; Xu Sun; Wanyu LIN; Chang Chen,https://icml.cc/virtual/2026/poster/61270,Poster Session 3,"Focuses on molecule generation, controllable molecule, sparse representation, representation editing, and precise control."
Credible Information Subset Decomposition: An End-to-End Multi-fidelity Learning Model by Modeling Label Information,Sihan Wang; Wenjie Du; Yang Wang,https://icml.cc/virtual/2026/poster/61461,,"Focuses on information subset, subset decomposition, paired samples, trusted information, and trusted subset."
