title,authors,url,session,abstract_takeaway
3D Scene Assertion Verification,Jun Lin; Jiayu Ding; Xiangtian Si; Xitong Cao; Lixin Hong; Zhang Chen; Chenxi Lv; Wenqian Wang,https://icml.cc/virtual/2026/poster/61149,Poster Session 8,"Focuses on scene assertion, assertion verification, verification visual, visual question, and question answering."
4RC: 4D Reconstruction via Conditional Querying Anytime and Anywhere,Yihang Luo; Shangchen Zhou; Yushi Lan; Xingang Pan; Chen Change Loy,https://icml.cc/virtual/2026/poster/65716,Poster Session 7,"Focuses on geometry motion, reconstruction conditional, conditional querying, querying anytime, and anytime anywhere."
[CLS] is Not Enough: Multi-Label Recognition via Patch-Level Inference and Adaptive Aggregation,Akang Wang; Xili Deng; Zhanxuan Hu; Yi Zhao; Yonghang Tai; Huafeng Li,https://icml.cc/virtual/2026/poster/61238,,"Focuses on multi-label recognition, adaptive aggregation, cls multi-label, recognition patch-level, and patch-level inference."
Active Exploring like a Pigeon: Reinforcing Spatial Reasoning via Agentic Vision-Language Models,Wei Deng; Xianlin Zhang; Mengshi Qi,https://icml.cc/virtual/2026/poster/61450,Poster Session 4,"Focuses on spatial reasoning, dynamic cognitive, cognitive map, active exploring, and exploring like."
AdaEraser: Training-Free Object Removal via Adaptive Attention Suppression,Dingming Liu,https://icml.cc/virtual/2026/poster/65028,Poster Session 4,"Focuses on object removal, adaptive attention, attention suppression, background content, and self-attention layers."
Adaptive Volumetric Mechanical Property Fields Invariant to Resolution,Rishit Dagli; Donglai Xiang; Vismay Modi; Xuning Yang; Gavriel State; David I.W.; Maria Shugrina,https://icml.cc/virtual/2026/poster/61059,Poster Session 5,"Focuses on input shape, adaptive volumetric, volumetric mechanical, mechanical property, and property fields."
Affine-Equivariant Kernel Space Encoding for NeRF Editing,Mikołaj Zieliński; Krzysztof Byrski; Tomasz Szczepanik; Dominik Belter; Przemysław Spurek,https://icml.cc/virtual/2026/poster/62601,Poster Session 5,"Focuses on affine-equivariant kernel, kernel space, space encoding, gaussian kernels, and encoding nerf."
Alterbute: Editing Intrinsic Attributes of Objects in Images,Tal Reiss; Daniel Winter; Matan Cohen; Alex Rav-Acha; Yael Pritch; Ariel Shamir; Yedid Hoshen,https://icml.cc/virtual/2026/poster/62221,Poster Session 2,"Focuses on intrinsic attributes, object intrinsic, object mask, alterbute editing, and editing intrinsic."
AmbiRefer3D: 3D Visual Grounding with Referential Ambiguity,Rongjiang Zhu; Wei Kang; Zeqi Liu; Chen junyu; Shuo Yang; Xinxiao Wu,https://icml.cc/virtual/2026/poster/61092,Poster Session 8,"Focuses on referential ambiguity, visual grounding, grounding referential, interactive grounding, and ambirefer3d visual."
Amodal Instance Segmentation with IRAIS Dataset for Sim-to-Real Transfer,Lingui Li; Bidong Chen,https://icml.cc/virtual/2026/poster/64861,,"Focuses on amodal instance, instance segmentation, irais dataset, dataset sim-to-real, and sim-to-real transfer."
AOEPT: Breaking the Implicit Modality-Reduction Bottleneck in Modality Missing Prompt Tuning,Jian Lang; Hong; Ting Zhong; Fan Zhou,https://icml.cc/virtual/2026/poster/64238,Poster Session 6,"Focuses on implicit modality-reduction, modality-reduction bottleneck, prompt tuning, reasoning scope, and scope mts."
API: Adaptive Prototype Imputation for Incomplete Multimodal Sentiment Analysis,Xiaotao Wang; Yiyang Fang; Wenke Huang; Bin Yang; Guancheng Wan; Mang Ye,https://icml.cc/virtual/2026/poster/64448,,"Focuses on multimodal sentiment, sentiment analysis, adaptive prototype, prototype imputation, and api adaptive."
