title,authors,url,session,abstract_takeaway
A Regime-Aware Trajectory Prediction Framework for 1000+ Systems Biology Models,heng rao; Jason Zhang; Yu Gu; Zhenghao Liu; Ge Yu; Jeffrey Su; Yang Cao; Fan Yang; Minghan Chen,https://icml.cc/virtual/2026/poster/61242,Poster Session 2,"Focuses on regime-aware trajectory, trajectory prediction, systems biology, prediction systems, and biology predicting."
A Strictly Proper Scoring Rule and a Calibration Metric for Interval-Censored Data Analysis,Hiroki Yanagisawa; Shunta Akiyama,https://icml.cc/virtual/2026/poster/65937,Poster Session 6,"Focuses on scoring rule, strictly proper, proper scoring, rule calibration, and calibration metric."
Adaptive DNA Sequence Modeling via Synergistic Plasticity Units,Binghao Liu; Wenzheng Zhao; Zhijie Zheng; Fei Gu,https://icml.cc/virtual/2026/poster/62828,Poster Session 2,"Focuses on plasticity layer, synergistic plasticity, dna modeling, local motifs, and adaptive dna."
AgentScore: Autoformulation of Deployable Clinical Scoring Systems,Silas Ruhrberg Estevez; Chris Chiu; Mihaela van der Schaar,https://icml.cc/virtual/2026/poster/62589,Poster Session 1,"Focuses on scoring systems, tasks agentscore, agentscore autoformulation, autoformulation deployable, and deployable clinical."
APEX: Approximate-but-exhaustive search for ultra-large combinatorial synthesis libraries,Aryan Pedawi; Jordi Silvestre-Ryan; Bradley Worley; Darren Hsu; Kushal Shah; Elias Stehle; Jingrong Zhang; Izhar Wallach,https://icml.cc/virtual/2026/poster/66209,Poster Session 2,"Focuses on virtual screening, approximate-but-exhaustive search, combinatorial synthesis, synthesis libraries, and screening campaign."
Asymmetric Contrastive Objectives for Efficient Phenotypic Screening,Luke Nightingale; Joseph Tuersley; Scott Warchal; Andrea Cairoli; Jacob Howes; Cameron Shand; Andrew Powell; Darren Green; Amy Strange; Michael Howell,https://icml.cc/virtual/2026/poster/61622,Poster Session 8,"Focuses on phenotypic screening, phenotypically similar, class vectors, asymmetric contrastive, and contrastive objectives."
Auditing Sybil: Explaining Deep Lung Cancer Risk Prediction Through Generative Interventional Attributions,Bartlomiej Sobieski; Jakub Grzywaczewski; Karol Dobiczek; Mateusz Wójcik; Tomasz Bartczak; Szatkowski Patryk; Przemysław Bombiński; Matthew Tivnan; Przemysław Biecek,https://icml.cc/virtual/2026/poster/66127,Poster Session 2,"Focuses on lung cancer, generative interventional, interventional attributions, auditing sybil, and sybil explaining."
Beyond Instance-Level Self-Supervision in 3D Multi-Modal Medical Imaging,Tan Pan; Shuhao Mei; Yixuan Sun; Kaiyu Guo; Chen Jiang; Zhaorui Tan; Mengzhu Li; LIMEI HAN; Xiang Zou; Yuan Cheng; Mahsa Baktashmotlagh,https://icml.cc/virtual/2026/poster/63572,Poster Session 1,"Focuses on medical imaging, beyond instance-level, instance-level self-supervision, self-supervision multi-modal, and multi-modal medical."
CellBRIDGE: Learning Cellular Trajectories via Interaction-Aware Alignment,Silas Ruhrberg Estevez; Nicolas Huynh; Tennison Liu; Roderik Kortlever; Gerard Evan; David Bentley; Mihaela van der Schaar,https://icml.cc/virtual/2026/poster/63547,Poster Session 8,"Focuses on cellbridge cellular, cellular trajectories, trajectories interaction-aware, interaction-aware alignment, and alignment inferring."
Co-Generative De Novo Functional Protein Design,XinRui Chen; YIZHEN LUO; Siqi Fan; Zaiqing Nie,https://icml.cc/virtual/2026/poster/64394,Poster Session 2,"Focuses on novo functional, functional protein, functionality foldability, structure tokens, and co-generative novo."
Conditionally Site-Independent Neural Evolution of Antibody Sequences,Stephen Lu; Aakarsh Vermani; Kohei Sanno; Jiarui Lu; Frederick Matsen; Milind Jagota; Yun Song,https://icml.cc/virtual/2026/poster/65443,Poster Session 8,"Focuses on conditionally site-independent, site-independent neural, neural evolution, evolution antibody, and antibody sequences."
CryoACE: An Atom-centric Framework for Accurate and Automated Model Building in Cryo-EM,Minzhang Li; Mingrui Li; Weichen Qin; Qihe Chen; Sixian Shen; Yuan Pei; Jiakai Zhang; Jingyi Yu,https://icml.cc/virtual/2026/poster/61644,Poster Session 6,"Focuses on cryoace atom-centric, atom-centric accurate, accurate automated, automated building, and building cryo-em."
DeCoDe: Decoupling Binding Position and Molecular Conformation in 3D Ligand Diffusion for Structure-Based Drug Design,Julong Yang; Wen Huang; Junhui Chen; Jian Peng,https://icml.cc/virtual/2026/poster/61882,Poster Session 8,"Focuses on binding position, position molecular, molecular conformation, structure-based drug, and conformation binding."
