title,authors,url,session,abstract_takeaway
AG-REPA: Causal Layer Selection for Representation Alignment in Audio Flow Matching,Pengfei Zhang; Tianxin Xie; Yang Minghao; Li Liu,https://icml.cc/virtual/2026/poster/65899,Poster Session 6,"Focuses on layer selection, representation alignment, audio flow, flow matching, and velocity field."
AgentSteerTTS: A Multi-Agent Closed-Loop Framework for Composite-Instruction Text-to-Speech,Bin Kang; Shaoguo Wen; Yang Fan; Shunlong Wu; Junjie Wang; Yulin Li; Junzhi Zhao; Junle Wang; Zhuotao Tian,https://icml.cc/virtual/2026/poster/62320,Poster Session 8,"Focuses on agentsteertts multi-agent, multi-agent closed-loop, control composite, composite instructions, and closed-loop composite-instruction."
Backjump-on-Graph: Empowering LLMs with Reinforced Retrospective Exploration for Agentic KG Reasoning,Yunqi Zhang; Shiqi Yan; Zhenzhao Yuan; Wenrui Liang; Yangming Liu; Zhixiao Qi; Tianyi Zhang; Shijie Zhang; Wei-Qiang Zhang; Yongfeng Huang; Haixin Duan; Shuai Chen; Yubo Chen,https://icml.cc/virtual/2026/poster/61995,Poster Session 6,"Focuses on reasoning paths, dead ends, atomic operations, backjump-on-graph empowering, and empowering llms."
Beyond Explicit Edges: Robust Reasoning over Noisy and Sparse Knowledge Graphs,Hang Gao; Dimitris Metaxas,https://icml.cc/virtual/2026/poster/66268,,"Focuses on explicit edges, beyond explicit, noisy sparse, knowledge graphs, and edges robust."
Beyond Static Endpoints: Tool Programs as an Interface for Flexible Agentic Web Services,Mugeng Liu; Shuoqi Li; Yixuan Zhang; Yun Ma,https://icml.cc/virtual/2026/poster/62527,Poster Session 5,"Focuses on agentic web, static endpoints, web services, tool intent, and beyond static."
Black-Box Detection of LLM-Generated Text Using Generalized Jensen Shannon Divergence,Shuangyi Chen; Ashish Khisti,https://icml.cc/virtual/2026/poster/65399,Poster Session 1,"Focuses on black-box detection, generalized jensen, jensen shannon, detection llm-generated, and llm-generated text."
Breaking the Reference Bottleneck via Learning to Rewrite Conversational Queries without Gold Reference Passages,Doyoung Kim; Youngjun Lee; Joeun Kim; Jihwan Bang; Hwanjun Song; Susik Yoon; Jae-Gil Lee,https://icml.cc/virtual/2026/poster/64152,Poster Session 6,"Focuses on reference passages, pseudo reference, response refinement, breaking reference, and reference bottleneck."
CoCoEmo: Composable and Controllable Human-Like Emotional TTS via Activation Steering,Siyi Wang; Shihong Tan; Siyi Liu; Hong Jia; Gongping Huang; James Bailey; Ting Dang,https://icml.cc/virtual/2026/poster/60804,Poster Session 8,"Focuses on activation steering, human-like emotional, steering emotional, text emotion, and hybrid tts."
CoCoReviewBench: A Completeness- and Correctness-Oriented Benchmark for AI Reviewers,Hexuan Deng; Xiaopeng Ke; Yichen Li; Ruina Hu; Dehao Huang; Derek F. Wong; Yue Wang; Xuebo Liu; Min zhang,https://icml.cc/virtual/2026/poster/65498,Poster Session 6,"Focuses on human reviews, cocoreviewbench completeness-, completeness- correctness-oriented, correctness-oriented reviewers, and reviewers despite."
Convex Low-resource Accent-Robust Language Detection in Speech Recognition,Miria Feng; William H. Tan; Mert Pilanci,https://icml.cc/virtual/2026/poster/64615,Poster Session 1,"Focuses on language detection, spoken dialogue, dialogue systems, convex low-resource, and low-resource accent-robust."
