title,authors,url,session,abstract_takeaway
A Conflict-aware Evidential Framework for Reliable Sleep Stage Classification,Yunzhi Tian; Dekui Wang; Jun Feng; Qirong Bu; Wei Zhou; Xingxing Hao,https://icml.cc/virtual/2026/poster/62514,Poster Session 2,"Focuses on conflict-aware evidential, sleep stage, stage classification, conflict-aware aggregation, and view-specific opinions."
A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments,Raymond Khazoum; Daniela Fernandes; Aleksandr Krylov; Qin Li; Stephane Deny,https://icml.cc/virtual/2026/poster/61927,Poster Session 2,"Focuses on mental rotation, spatial representations, rotation informed, informed interactive, and interactive mental."
A Factorized Low-Rank RNN Framework for Uncovering Independent Neural Latent Dynamics and Connectivity,Chengrui Li; Yunmiao Wang; Yule Wang; Weihan Li; Dieter Jaeger; Anqi Wu,https://icml.cc/virtual/2026/poster/64097,Poster Session 2,"Focuses on latent dynamics, neural latent, connectivity low-rank, recurrent neural, and latent dimensions."
A Hitchhiker's Guide to Poisson Gradient Estimation,Michael Ibrahim; Hanqi Zhao; Eli Sennesh; Zhi Li; Anqi Wu; Jacob Yates; Chengrui Li; Hadi Vafaii,https://icml.cc/virtual/2026/poster/63866,Poster Session 6,"Focuses on latent variable, hitchhiker guide, guide poisson, poisson gradient, and gradient estimation."
A Spiking Heterogeneous Harmonic Resonate-and-Fire State Space Model for Time Series,Kartikay Agrawal; Vaishnavi N; Abhijeet Vikram; Vedant Sharma; Ayon Borthakur,https://icml.cc/virtual/2026/poster/62795,Poster Session 2,"Focuses on harmonic resonate-and-fire, state space, time series, spiking heterogeneous, and heterogeneous harmonic."
Abstraction Induces the Brain Alignment of Language and Speech Models,Emily Cheng; Aditya Vaidya; Richard Antonello,https://icml.cc/virtual/2026/poster/61772,Poster Session 4,"Focuses on intrinsic dimension, language speech, meaning abstraction, dimension brain, and brain predictivity."
AdaS: Adaptive Gradient Descent for Spiking Transformers,Zijian Zhou; Honglin Cao; Ammar Belatreche; Wenjie Wei; Yimeng Shan; Yu Liang; Yu Yang; Shuai Wang; Yalan Ye; Malu Zhang; Yang Yang; Haizhou Li,https://icml.cc/virtual/2026/poster/62239,Poster Session 1,"Focuses on spiking transformers, update direction, adaptive gradient, gradient descent, and descent spiking."
AI Engram: In Search of Memory Traces in Artificial Intelligence,Jea Kwon; Dong-Kyum Kim; Jiwon Kim; Yonghyun Kim; Woong Kook; MEEYOUNG CHA,https://icml.cc/virtual/2026/poster/64138,Poster Session 2,"Focuses on memory traces, biological memory, engram search, search memory, and traces artificial."
Biologically plausible heavy-tailed connectivity enhances generalizations on cognitive tasks in recurrent neural networks,Zhe Jiao; Xiaodong He; Shanglin Zhou,https://icml.cc/virtual/2026/poster/66256,Poster Session 2,"Focuses on heavy-tailed connectivity, cognitive tasks, recurrent neural, heavy-tailed synaptic, and improved generalization."
BIT-LLM: Brain Instruction Tuned LLM with persistent Cross-Attention for fMRI-to-Text Decoding,Sunghwan LEE; jihun kim; Chaelynn Kim; Jiyun Park; Jong-Hwan Lee,https://icml.cc/virtual/2026/poster/65031,Poster Session 1,"Focuses on voxel values, bit-llm brain, brain instruction, instruction tuned, and tuned llm."
