title,authors,url,session,abstract_takeaway
AIR-VLA: Vision-Language-Action Systems for Aerial Manipulation,Jianli Sun; Bin Tian; Qiyao Zhang; Chengxiang Li; Zihan Song; Zhiyong Cui; Yisheng Lv; Yonglin Tian,https://icml.cc/virtual/2026/poster/64411,Poster Session 5,"Focuses on aerial manipulation, vla paradigms, tailored aerial, air-vla vision-language-action, and vision-language-action systems."
Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,Xianzhe Fan; Shengliang Deng; Xiaoyang Wu; Yuxiang Lu; Zhuoling Li; Mi Yan; Yujia Zhang; Zhizheng Zhang; He Wang; Hengshuang Zhao,https://icml.cc/virtual/2026/poster/60472,Poster Session 5,"Focuses on point clouds, visual input, corresponding representations, domain gap, and any3d-vla enhancing."
AutoMoT: A Unified Vision-Language-Action Model with Asynchronous Mixture -of-Transformers for End-to-End Autonomous Driving,Wenhui (Oscar) Huang; Songyan Zhang; Qihang Huang; Zhidong Wang; zhiqi mao; Collister Chua; Chen Zhan; Long Chen; Chen Lv,https://icml.cc/virtual/2026/poster/64489,Poster Session 4,"Focuses on autonomous driving, reasoning action, general reasoning, reasoning capabilities, and automot unified."
Bring My Cup! Personalizing Vision-Language-Action Models with Visual Attentive Prompting,Sangoh Lee; Sangwoo Mo; Wook-Shin Han,https://icml.cc/virtual/2026/poster/62528,Poster Session 3,"Focuses on bring cup, visual attentive, attentive prompting, reference images, and cup personalizing."
CoIRL-AD: Collaborative-Competitive Imitation-Reinforcement Learning in Latent World Models for Autonomous Driving,Xiaoji Zheng; Ziyuan Yang; Yuhang PENG; Yanhao Chen; Yuanrong Tang; Gengyuan Liu; Bokui Chen; Jiangtao Gong,https://icml.cc/virtual/2026/poster/62362,Poster Session 3,"Focuses on autonomous driving, end-to-end autonomous, long-tail scenarios, coirl-ad collaborative-competitive, and collaborative-competitive imitation-reinforcement."
De4D-SLAM: Gradient-Isolated Static-Dynamic Decoupling for Monocular SLAM in Dynamic Environments,Zhicheng Fan; Zitong Wu; Zhaoxing Fan; Xiao Zhang; Biao Hou; Bo Ren,https://icml.cc/virtual/2026/poster/66049,,"Focuses on de4d-slam gradient-isolated, gradient-isolated static-dynamic, static-dynamic decoupling, decoupling monocular, and monocular slam."
DECO: Decoupled Multimodal Diffusion Transformer for Bimanual Dexterous Manipulation with a Plugin Tactile Adapter,Xukun Li; Yu Sun; Lei Zhang; Bo-Sheng Huang; Yibo Peng; Yuan Meng; Haojun Jiang; Shaoxuan Xie; Guocai Yao; Alois Knoll; Zhenshan Bing; Xinlong Wang; Zhenguo Sun,https://icml.cc/virtual/2026/poster/66358,Poster Session 3,"Focuses on bimanual dexterous, dexterous manipulation, deco decoupled, decoupled multimodal, and multimodal diffusion."
DecoVer: A Decompose-and-Verify Neuro-Symbolic Framework for Embodied Task Planning with BC+,YiXiang Jiang; Binqian Xu; Xiangbo Shu,https://icml.cc/virtual/2026/poster/63653,Poster Session 5,"Focuses on embodied task, task planning, decover decompose-and-verify, decompose-and-verify neuro-symbolic, and neuro-symbolic embodied."
DeepSight: Long-Horizon World Modeling via Latent States Prediction for End-to-End Autonomous Driving,Lingjun Zhang; Changjie Wu; Linzhe Shi; Jiangyang Li; Jiaxin Liu; Lei Yang; Hang Zhang; Mu Xu; Hong Wang,https://icml.cc/virtual/2026/poster/62484,Poster Session 5,"Focuses on autonomous driving, end-to-end autonomous, text reasoning, visual reasoning, and deepsight long-horizon."
DiLA: Disentangled Latent Action World Models,Tianqiu Zhang; Muyang Lyu; Yufan Zhang; Fang Fang; Si Wu,https://icml.cc/virtual/2026/poster/65662,Poster Session 5,"Focuses on latent action, action abstraction, dila disentangled, disentangled latent, and action world."
Dual-Stream Diffusion for World-Model Augmented Vision-Language-Action Model,John Won; Kyungmin Lee; Huiwon Jang; Dongyoung Kim; Jinwoo Shin,https://icml.cc/virtual/2026/poster/64447,Poster Session 5,"Focuses on dual-stream diffusion, world-model augmented, inference-time scaling, diffusion world-model, and augmented vision-language-action."
Dyn-VPP: Video Prediction Policy Optimization for Improved Visual Dynamics,Zirui Ge; Pengxiang Ding; Yemin Wang; BaoHuaYin; Qishen Wang; Zhiyong Xie; Hengtao Li; Runze Suo; Wenxuan Song; Han Zhao; Shangke Lyu; Haoang Li; RAN CHENG; Cheng Chi; Hui-Bin Ge; Yaozhi Luo; Donglin Wang,https://icml.cc/virtual/2026/poster/66506,Poster Session 3,"Focuses on visual dynamics, policy optimization, dyn-vpp video, video prediction, and prediction policy."
"Dynamics Are Learned, Not Told: Semi-Supervised Discovery of Latent Dynamics Geometries For Zero-Shot Policy Adaptation",Zhiming Xu; Weitao Zhou; Xianghui Pan; Chenpeng Yao; Nanshan Deng; Chengju Liu; Qijun Chen,https://icml.cc/virtual/2026/poster/63406,Poster Session 3,"Focuses on dynamics shifts, dynamics learned, learned told, told semi-supervised, and semi-supervised discovery."
EcoVLA: Environment-Aware Adaptive Pruning with Interleaved Inference Orchestration for Vision-Language-Action Models,Yuting Huang; Leilei Ding; Zhipeng Tang; Zenghuan Zhu; Jiajun Deng; Xinrui Lin; Shuo Liu; Haojie Ren; Jianmin Ji; Yanyong Zhang,https://icml.cc/virtual/2026/poster/66030,Poster Session 5,"Focuses on adaptive pruning, sparsity patterns, speedup only, ecovla environment-aware, and environment-aware adaptive."
Efficient Skill Grounding via Code Refactoring with Small Language Models,Sera Choi; Wonje Choi; Saehun Chun; Daehee Lee; Chaeun Lee; Jooyoung Kim; Honguk Woo,https://icml.cc/virtual/2026/poster/65138,Poster Session 5,"Focuses on skill grounding, small language, effective skill, grounding refactoring, and refactoring small."
Embodied-DETR: End-to-End Temporal 3D Object Detection in Egocentric Views,Ziheng Ding; Xiaze Zhang; Yuejie Zhang; lifeng chen; Rui Feng,https://icml.cc/virtual/2026/poster/63193,Poster Session 5,"Focuses on object detection, embodied-detr end-to-end, end-to-end temporal, accuracy temporal, and temporal object."
Embodiment-Conditioned Mixture of Experts Increases the Evolvability of Robots,Yibin Wang; Muhan Li; Zihan Guo; Sam Kriegman,https://icml.cc/virtual/2026/poster/62776,Poster Session 5,"Focuses on embodiment-conditioned mixture, mixture experts, experts increases, increases evolvability, and evolvability robots."
EnsembleVLA: Ensemble Learning for Vision-Language Action Models,Mingchen Song; Xiang Deng; Jie Wei; Dongmei Jiang; Liqiang Nie; Weili Guan,https://icml.cc/virtual/2026/poster/61698,Poster Session 3,"Focuses on ensemblevla ensemble, ensemble vision-language, vision-language action, action diverse, and diverse vision-language-action."
FlatLab: A Unified Methodology Framework and Simulation-Based Benchmark for Robotic Manipulation of Flat Objects,Xingyu Zhu; Wenshuo Han; Zhouyu Wang; Yuran Wang; Ruihai Wu; Hao Dong; Fan Tang; Hechang Chen; Hyung Jin Chang; Yixing Gao,https://icml.cc/virtual/2026/poster/66662,Poster Session 5,"Focuses on flat objects, robotic manipulation, manipulation flat, strategy generator, and execution module."
FocalPolicy: Frequency-Optimized Chunking and Locally Anchored Flow Matching for Coherent Visuomotor Policy,Qian He; Zhenshuo Yang; Wenqi Liang; Chunhui Hao; Nicu Sebe; Jiandong Tian,https://icml.cc/virtual/2026/poster/66520,Poster Session 3,"Focuses on locally anchored, flow matching, frequency-optimized chunking, chunking locally, and anchored flow."
From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Bing Hu; Zaijing Li; Rui Shao; Junda Chen; April Hua Liu; Wei-Shi Zheng; Liqiang Nie,https://icml.cc/virtual/2026/poster/66596,Poster Session 5,"Focuses on behavior representations, abstraction instantiation, instantiation behavioral, behavioral representation, and representation vision-language-action."
From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,Yajie Li; Bozhou Zhang; Chun Gu; Zipei Ma; Jiahui Zhang; Jiankang Deng; Xiatian Zhu; Li Zhang,https://icml.cc/virtual/2026/poster/66091,,"Focuses on mixture latent, latent actions, robot manipulation, imagined futures, and predicted frames."
From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,Yihan Lin; Haoyang Li; Yang Li; Haitao Shen; Yihan Zhao; Chao Shao; Jing Zhang,https://icml.cc/virtual/2026/poster/63621,Poster Session 5,"Focuses on latent actions, action supervision, study latent, image-based latent, and action-based latent."
Functional Cache Grafting: Robust and Rapid Code-Policy Synthesis for Embodied Agents,Saehun Chun; Sera Choi; Wonje Choi; Sanghyun Ahn; Honguk Woo,https://icml.cc/virtual/2026/poster/62313,Poster Session 3,"Focuses on cache grafting, functional cache, embodied agents, prefill computation, and grafting robust."
Generalizable and Actionable Parts Pose Estimation with Symmetry Annotation-Free Learning Strategy,wenxiao chen; Xueyu Yuan; Liu Liu; Di Wu; Dan Guo,https://icml.cc/virtual/2026/poster/65375,Poster Session 5,"Focuses on generalizable actionable, actionable parts, pose estimation, parts pose, and symmetry annotation-free."
GeoSense: Internalizing Geometric Necessity Perception for Multimodal Reasoning,Ruiheng Liu; Haihong Hao; Mingfei Han; Xin Gu; Kecheng Zhang; Changlin Li; Xiaojun Chang,https://icml.cc/virtual/2026/poster/64060,Poster Session 3,"Focuses on empowering autonomously, geometric features, geosense internalizing, internalizing geometric, and geometric necessity."
LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,Shijie Lian; Bin Yu; Xiaopeng LIN; Laurence Yang; Zhaolong Shen; Changti Wu; YuZhuo Miao; Cong Huang; Kai Chen,https://icml.cc/virtual/2026/poster/65457,Poster Session 3,"Focuses on bayesian decomposition, language action, latent action, action queries, and mutual information."
Learning High-Frequency Continuous Action Chunks in Latent Space,Kunyun Wang; Yuhang Zheng; Jieru Zhao; Yupeng Zheng; Wenchao Ding,https://icml.cc/virtual/2026/poster/63021,Poster Session 3,"Focuses on action chunks, latent space, action chunking, execute complex, and high-frequency continuous."
Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization,Hao Zhang; Yaru Niu; Yikai Wang; Ding Zhao; Eric Tseng,https://icml.cc/virtual/2026/poster/61049,Poster Session 3,"Focuses on heterogeneous-agent lyapunov, lyapunov policy, policy optimization, human-robot collaboration, and collaboration heterogeneous-agent."
Learning to Reconfigure: Co-designing Reconfigurable robots for Heterogeneous Locomotion,Xiaoyu Xiong; Kehan Liu; HuiYi Yan; Shengjie Wang; Yang Gao; Tao Du,https://icml.cc/virtual/2026/poster/61720,Poster Session 3,"Focuses on reconfigurable robots, robots heterogeneous, heterogeneous locomotion, locomotion tasks, and co-design algorithms."
Making Learner Weakness Actionable for Learning from Demonstration with Novice Teachers,Yuqing Zhu; Matthew Howard,https://icml.cc/virtual/2026/poster/60789,Poster Session 3,"Focuses on novice teachers, making learner, learner weakness, weakness actionable, and actionable demonstration."
Mosaic: Runtime-Efficient Multi-Agent Embodied Planning,Kunjal Panchal; Saayan Mitra; Sunav Choudhary; Victor Bursztyn; Somdeb Sarkhel; Hui Guan,https://icml.cc/virtual/2026/poster/62291,,"Focuses on mosaic runtime-efficient, runtime-efficient multi-agent, multi-agent embodied, embodied planning, and state tracking."
Motion Planning in Compressed Representation Spaces,Lukas Lao Beyer; Sertac Karaman,https://icml.cc/virtual/2026/poster/65600,Poster Session 3,"Focuses on motion planning, latent space, flexibility efficiency, planning compressed, and compressed representation."
Move-Then-Operate: Behavioral Phasing for Human-Like Robotic Manipulation,Haoming Xu; Lei Lei; Jie Gu; Chu Tang; Jingmin Chen; Rui-Qi Wang,https://icml.cc/virtual/2026/poster/65496,Poster Session 3,"Focuses on robotic manipulation, move-then-operate behavioral, behavioral phasing, phasing human-like, and human-like robotic."
MSP: Probabilistically Consistent Multi-Scale Action Generation,Zhixuan Lin; Gengqi Liu; Chao Zheng; Gao Lin; Jindong Yu; Song Gao; Fei Wang,https://icml.cc/virtual/2026/poster/60482,,"Focuses on probabilistically consistent, action generation, consistent multi-scale, multi-scale action, and long-horizon tasks."
