title,authors,url,session,abstract_takeaway
A Control-Theoretic View of Mamba on Stability and Robustness,Liang Cao; Weide Liu; Zhuo Chen; Yan Qin,https://icml.cc/virtual/2026/poster/62048,,"Focuses on stability robustness, robustness bounds, control-theoretic view, view mamba, and mamba stability."
AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection,Junru Zhang; Lang Feng; Haoran Shi; Xu Guo; Han Yu; Yabo Dong; Duanqing Xu,https://icml.cc/virtual/2026/poster/64969,Poster Session 5,"Focuses on time-series anomaly, anomaly detection, classification localization, time-series grounded, and anomseer reinforcing."
Anti-Aliasing Matters: A Dynamic Network for Time Series Forecasting,Heng Zhou; Xin Sun; Chao LI,https://icml.cc/virtual/2026/poster/62513,Poster Session 1,"Focuses on time series, multiscale features, convolutional downsampling, anti-aliasing matters, and matters dynamic."
Beyond Extrapolation: Knowledge Utilization Paradigm with Bidirectional Inspiration for Time Series Forecasting,Liu Chong; Yingjie Zhou; Hao Li; Pengyang Wang; Qingsong Wen; Ce Zhu,https://icml.cc/virtual/2026/poster/63442,Poster Session 5,"Focuses on post-target continuation, knowledge utilization, utilization paradigm, paradigm bidirectional, and bidirectional inspiration."
Bootstrapped Exploration with Causal Reasoning: A Training Paradigm for Adaptive Forecasting Agent,Qingwen Zeng; Dajun Guo; Zhaoge Bi; lining chen; Jushang Qiu; Yitian Yang; Carl Yang; Huaming Chen; Ling Chen,https://icml.cc/virtual/2026/poster/65944,Poster Session 5,"Focuses on training paradigm, time series, distribution shifts, bootstrapped exploration, and exploration causal."
Bridging Time and Frequency: A Joint Modeling Framework for Irregular Multivariate Time Series Forecasting,Xiangfei Qiu; Kangjia Yan; Xvyuan Liu; Xingjian Wu; Jilin Hu,https://icml.cc/virtual/2026/poster/65148,Poster Session 2,"Focuses on time frequency, irregular multivariate, multivariate time, time series, and imts forecasting."
CHESS: Chebyshev Spectral Synthesis for Trajectory Condensation,Ruituo Wu; Hongyu Zhang; Qiang Wang; Jiawei Du; Wei Cui; Ce Zhu; Bing Li,https://icml.cc/virtual/2026/poster/65746,Poster Session 2,"Focuses on chess chebyshev, chebyshev spectral, spectral synthesis, synthesis trajectory, and trajectory condensation."
CombinationTS: A Modular Framework for Understanding Time-Series Forecasting Models,Xiaorui Wang; Fanda Fan; Chenxi Wang; Yuxuan Yang; Rui Tang; Kuoyu Gao; simiao pang; Yuanfeng Shang; Liu; Wanling Gao; Lei Wang; Jianfeng Zhan,https://icml.cc/virtual/2026/poster/65509,Poster Session 5,"Focuses on time-series forecasting, effectiveness stability, combinationts modular, modular understanding, and understanding time-series."
"ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence",Shiyu Wang; Yuchen Fang; Juntong Ni; Ziyi Zhang; Baichuan Mo; Xinyue Zhong; Chengxin Wang; Zhou Ye; Yang Xiang,https://icml.cc/virtual/2026/poster/61370,Poster Session 5,"Focuses on multivariate time, time series, unified forecasting, conflux multivariate, and series flux."
ConTSG-Bench: A Unified Benchmark for Conditional Time Series Generation,Shaocheng Lan; Shuqi Gu; Zhangzhi Xiong; Kan Ren,https://icml.cc/virtual/2026/poster/64506,Poster Session 6,"Focuses on conditional time, time series, series generation, contsg-bench unified, and unified conditional."
DAG: A Dual Correlation Network for Time Series Forecasting with Exogenous Variables,Xiangfei Qiu; Yuhan Zhu; Zhengyu Li; Xingjian Wu; Bin Yang; Jilin Hu,https://icml.cc/virtual/2026/poster/62103,Poster Session 2,"Focuses on exogenous variables, time series, series forecasting, endogenous variables, and future exogenous."
Decoupling Universal Laws and Environmental Heterogeneity: A Physics-Inspired Framework for Robust Spatio-Temporal Forecasting,Aoyu Liu; Liming Wei; YAYING ZHANG,https://icml.cc/virtual/2026/poster/61390,Poster Session 2,"Focuses on spatio-temporal forecasting, decoupling universal, universal laws, laws environmental, and environmental heterogeneity."
DRL-STAF: A DRL Framework for State-aware Forecasting of Complex Multivariate Hidden Markov Process,Manrui Jiang; Jingru Huang; Yong Chen; Chen Zhang,https://icml.cc/virtual/2026/poster/62284,Poster Session 5,"Focuses on hidden markov, multivariate hidden, state-aware forecasting, complex multivariate, and markov processes."
DropoutTS: Sample-Adaptive Dropout for Robust Time Series Forecasting,Siru Zhong; Yiqiu Liu; Zhiqing Cui; Zezhi Shao; Fei Wang; Qingsong Wen; Yuxuan Liang,https://icml.cc/virtual/2026/poster/66019,Poster Session 1,"Focuses on sample-adaptive dropout, time series, dropoutts sample-adaptive, dropout robust, and robust time."
Dynamic Relational Priming Improves Transformer in Multivariate Time Series,Hunjae Lee; Corey Clark,https://icml.cc/virtual/2026/poster/62910,Poster Session 5,"Focuses on standard attention, prime attention, dynamic relational, relational priming, and multivariate time."
