title,authors,url,session,abstract_takeaway
A Provable Expressiveness Hierarchy in Hybrid Linear-Full Attention,Xiaowei Ye; Xiaoyu He; Chao Liao; Chen Wu; Pinyan Lu,https://icml.cc/virtual/2026/poster/64821,Poster Session 1,"Focuses on full attention, attention mechanisms, expressiveness hierarchy, standard full, and hybrid attention."
Attention Sink Forges Native MoE in Attention Layers: Sink-Aware Training to Address Head Collapse,Zizhuo Fu; Wenxuan Zeng; Runsheng Wang; Meng Li,https://icml.cc/virtual/2026/poster/62105,Poster Session 6,"Focuses on attention sink, attention layers, head collapse, sink attention, and sink-aware training."
Attention with Routed-Memory for Learnable Sparse Control,QIUHAO Zeng; Jerry Huang; Peng Lu; Ruiyi Fang; Gezheng Xu; Zihao Jing; Yufei Cui; Charles X. Ling; Gang Niu; Boyu Wang,https://icml.cc/virtual/2026/poster/66106,Poster Session 1,"Focuses on attention routed-memory, routed-memory learnable, learnable sparse, sparse control, and control despite."
Balancing Fidelity and Diversity in Diffusion Models via Symmetric Attention Decomposition: Hopfield Perspective,Hyunmin Cho; Woo Kyoung Han; Kyong Hwan Jin,https://icml.cc/virtual/2026/poster/65403,Poster Session 6,"Focuses on fidelity diversity, symmetric component, hopfield-style stability, stability measures, and balancing fidelity."
Causal Attention with Lookahead Keys,Zhuoqing Song; Peng Sun; Huizhuo Yuan; Quanquan Gu,https://icml.cc/virtual/2026/poster/64371,,"Focuses on causal attention, lookahead keys, attention lookahead, standard causal, and each token."
Decomposing Query-Key Feature Interactions Using Contrastive Covariances,Andrew Lee; Yonatan Belinkov; Fernanda Viégas; Martin Wattenberg,https://icml.cc/virtual/2026/poster/61168,Poster Session 3,"Focuses on attention scores, decomposing query-key, query-key feature, feature interactions, and interactions contrastive."
DFSAttn: Dynamic Fine-grained Sparse Attention for Efficient Video Generation,Jie Hu; Zixiang Gao; Yutong He; Kun Yuan,https://icml.cc/virtual/2026/poster/65142,Poster Session 6,"Focuses on sparse attention, dynamic fine-grained, block sparse, video generation, and fine-grained sparsity."
Do Transformers Need Three Projections? Systematic Study of QKV Variants,Ali Kayyam; Anusha Gopal; M Lewis,https://icml.cc/virtual/2026/poster/63430,,"Focuses on projection sharing, three projections, language modeling, cache reduction, and transformers need."
Elastic Attention: Test-time Adaptive Sparsity Ratios for Efficient Transformers,Zecheng Tang; Quantong Qiu; Yi Yang; Zhiyi Hong; Haiya Xiang; Kebin Liu; Qingqing Dang; Juntao Li; Min zhang,https://icml.cc/virtual/2026/poster/61321,Poster Session 3,"Focuses on elastic attention, full attention, attention test-time, test-time adaptive, and adaptive sparsity."
Faster Query-Key Learning Sharpens Attention in Self-Attention Models,Rahul Vashisht; Harish Ramaswamy,https://icml.cc/virtual/2026/poster/60639,Poster Session 1,"Focuses on faster query-key, sharper attention, two circuits, query-key sharpens, and sharpens attention."
