title,authors,url,session,abstract_takeaway
A Progressive Evidence Localization Framework Based on Wasserstein Gradient Flows for Document Visual Question Answering,Haosen Wang; Jing Xiao; Mengqiao Li; Xuanze Wang; Mingzheng Zhang; Xiaowang Zhang; Zhiyong Feng,https://icml.cc/virtual/2026/poster/61307,,"Focuses on evidence localization, gradient flows, progressive evidence, localization wasserstein, and wasserstein gradient."
CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction,Yinghao Ma; Haiwen Xia; Hewei Gao; Weixiong Chen; Ye Yuxin; Yuchen Yang; Sungkyun Chang; Mingshuo Ding; Yizhi Li; Ruibin Yuan; Simon Dixon; Emmanouil Benetos,https://icml.cc/virtual/2026/poster/62069,Poster Session 8,"Focuses on music generation, music reward, cmi reward, human judgments, and music arena."
cMoLLM at Scale: Horizontal Scaling Laws for Convolutionally-Gated Mixture-of-LLMs,Xin Yang; Yemin Wang; Mingda Liu; Letian Li; Shuaishuai Cao; ZhengXiao He; Ryan Dong,https://icml.cc/virtual/2026/poster/61208,Poster Session 2,"Focuses on moe-style mixture, cmollm scale, scale horizontal, horizontal scaling, and scaling laws."
Cognitive Fatigue in Autoregressive Transformers: Formalization and Measurement,Riju Marwah; Ritvik Garimella; Vishal Pallagani; Atishay Jain; Michael Stewart; Amit Sheth,https://icml.cc/virtual/2026/poster/62791,Poster Session 8,"Focuses on cognitive fatigue, fatigue autoregressive, autoregressive transformers, transformers formalization, and formalization measurement."
Connecting Independently Trained Modes via Layer-Wise Connectivity,Yongding Tian; Zaid Al-Ars; Maksim Kitsak; H Peter Hofstee,https://icml.cc/virtual/2026/poster/66344,Poster Session 1,"Focuses on independently trained, trained modes, connecting independently, modes layer-wise, and layer-wise connectivity."
Continual Model Routing in Evolving Model Hubs,Jack Bell; Giacomo Carfì; Gerlando Gramaglia; Vincenzo Lomonaco,https://icml.cc/virtual/2026/poster/64939,Poster Session 2,"Focuses on continual routing, routing evolving, evolving hubs, hubs provide, and provide access."
DEGAP: Dynamic Entropy-Guided Attention Perturbation for Contrastive Decoding in Large Vision-Language Models,Mingyu Kang; Yuna Jeong; Junhyeong Park; Hyein Seo; Yong Suk Choi,https://icml.cc/virtual/2026/poster/65456,Poster Session 6,"Focuses on contrastive decoding, attention perturbation, dynamic entropy-guided, entropy-guided attention, and visual attention."
Demystifying Mergeability: Interpretable Properties to Predict Model Merging Success,Luca Zhou; Bo Zhao; Rose Yu; Emanuele Rodolà,https://icml.cc/virtual/2026/poster/61044,Poster Session 7,"Focuses on demystifying mergeability, mergeability interpretable, interpretable properties, properties predict, and predict merging."
Energy-Structured Low-Rank Adaptation for Continual Learning,Longhua Li; Lei Qi; Qi Tian; Xin Geng,https://icml.cc/virtual/2026/poster/66355,Poster Session 1,"Focuses on energy-structured low-rank, low-rank adaptation, adaptation continual, continual orthogonal, and orthogonal subspace."
Equivariant Covariance Tensors: Guaranteed SPD Uncertainty for Tensor-Valued Geometric Learning,Ruihan Liu; Yu Ji; Jianbo Yu; Shifu Yan; Qingchao Jiang,https://icml.cc/virtual/2026/poster/62008,Poster Session 8,"Focuses on equivariant covariance, covariance tensors, tensors guaranteed, guaranteed spd, and spd uncertainty."
FedARC: Anchor-Guided Residual Compensation for Data and Model Heterogeneous Federated Learning,Chentao Lu; Xuhao Ren; Dawei xu; Chuan Zhang; Liehuang Zhu,https://icml.cc/virtual/2026/poster/61413,,"Focuses on residual compensation, fedarc anchor-guided, anchor-guided residual, compensation heterogeneous, and heterogeneous federated."
Flowers: A Warp Drive for Neural PDE Solvers,Till Muser; Alexandra Spitzer; Matti Lassas; Maarten de Hoop; Ivan Dokmanic,https://icml.cc/virtual/2026/poster/63822,Poster Session 8,"Focuses on flowers warp, warp drive, drive neural, neural pde, and pde solvers."
Forgetting Whenever You Want: A Decentralized Continual Learning Framework with On-Demand Unlearning,Xiao Zhang; Zengzhe Chen; Mingyi Li; Jing Qiao; Fuzhen Zhuang; YUAN YUAN; Dongxiao Yu,https://icml.cc/virtual/2026/poster/61506,Poster Session 8,"Focuses on on-demand unlearning, class unlearning, decentralized continual, continual on-demand, and class continual."
Generative Visual Code Mobile World Models,Woosung (Reiss) Koh; Sungjun Han; Segyu Lee; Se-Young Yun; Jamin Shin,https://icml.cc/virtual/2026/poster/63186,Poster Session 8,"Focuses on mobile gui, visual mobile, precise text, text rendering, and world modeling."
Inconsistency-Aware Minimization: Improving Generalization with Unlabeled Data,Hee-Sung Kim; Hyeonseong Kim; Sungyoon Lee,https://icml.cc/virtual/2026/poster/62214,Poster Session 1,"Focuses on local inconsistency, inconsistency-aware minimization, generalization gap, inconsistency computed, and minimization generalization."
Interleaved Selective State Space Models for Efficient WiFi-Based 3D Multi-Person Pose Estimation,Quang-Anh N.D.; Kok-Seng Wong,https://icml.cc/virtual/2026/poster/64025,Poster Session 5,"Focuses on selective state, state space, pose estimation, wifi-based multi-person, and multi-person pose."
LATMiX: Learnable Affine Transformations for Microscaling Quantization of LLMs,Ofir Gordon; Lior Dikstein; Arnon Netzer; Idan Achituve; Hai Victor Habi,https://icml.cc/virtual/2026/poster/62765,Poster Session 8,"Focuses on affine transformations, latmix learnable, learnable affine, transformations microscaling, and microscaling quantization."
Learn to Think: Improving Multimodal Reasoning through Vision-Aware Self-Improvement Training,Qihuang Zhong; Liang Ding; Wenjie Xuan; Juhua Liu; Bo Du; Dacheng Tao,https://icml.cc/virtual/2026/poster/66575,,"Focuses on reasoning traces, multimodal reasoning, self-improvement training, vision-aware self-improvement, and think multimodal."
Must All Negatives Be Pushed Away Equally? Uncertainty-Aware Cross-View Geo-Localization via Normal Inverse Gamma Distribution,Songsong Ouyang; Le Wu; Yingying Zhu,https://icml.cc/virtual/2026/poster/62889,,"Focuses on all negatives, cross-view geo-localization, semi-positive samples, nig distribution, and must all."
On the Accuracy of Newton Step and Influence Function Data Attributions,Ittai Rubinstein; Samuel Hopkins,https://icml.cc/virtual/2026/poster/61869,Poster Session 2,"Focuses on newton step, accuracy newton, step influence, influence function, and function attributions."
On the Expressive Power of Permutation-Equivariant Weight-Space Networks,Adir Dayan; Yam Eitan; Haggai Maron,https://icml.cc/virtual/2026/poster/62459,Poster Session 8,"Focuses on weight-space networks, expressive power, expressivity weight-space, power permutation-equivariant, and permutation-equivariant weight-space."
Order Matters: Unveiling the Hidden Impact of Macro Placement Sequences via Proxy-Guided LLM Evolution,Shibing Mo; Jing Liu; Jianchu Xu; Ruilin Wu,https://icml.cc/virtual/2026/poster/62576,Poster Session 8,"Focuses on macro placement, llm evolution, ordering strategies, order matters, and matters unveiling."
Platonic Transformers: A Solid Choice For Equivariance,Mohammad Mohaiminul Islam; Rishabh Anand; David Wessels; Friso de Kruiff; Thijs Kuipers; ZHITAO YING; Clara Sánchez; Sharvaree Vadgama; Georg Bökman; Erik Bekkers,https://icml.cc/virtual/2026/poster/64816,Poster Session 8,"Focuses on computer vision, platonic transformer, transformers solid, solid choice, and choice equivariance."
PointCHR: Point Cloud Analysis via Curvature-Aware Hyperbolic Rectification,Xinxing Yu; Liying Yang; Hao Mo; Hui Ma; Fang Kai; Ajian Liu; Yanyan Liang,https://icml.cc/virtual/2026/poster/60762,Poster Session 5,"Focuses on point cloud, cloud analysis, curvature-aware hyperbolic, hyperbolic rectification, and fine-grained geometric."
Probabilistic Modeling of Latent Agentic Substructures in Deep Neural Networks,Su Hyeong Lee; Risi Kondor; Richard Ngo,https://icml.cc/virtual/2026/poster/61223,,"Focuses on probabilistic modeling, modeling latent, latent agentic, agentic substructures, and substructures neural."
Prototype-Based Test-Time Adaptation of Vision-Language Models,Zhaohong Huang; Yuxin Zhang; Wenjing Liu; Fei Chao; Rongrong Ji,https://icml.cc/virtual/2026/poster/62645,Poster Session 1,"Focuses on test-time adaptation, prototype-based test-time, knowledge prototypes, test samples, and clip inference."
PsumQuant: In-line Post-training Partial Sum Quantizer for Energy Efficient NPU Inference,Sangwoo Hwang; Yeeun Hong; Jaeha Kung,https://icml.cc/virtual/2026/poster/66147,Poster Session 8,"Focuses on psumquant in-line, in-line post-training, post-training partial, partial sum, and sum quantizer."
QPoint: End-to-End Lightweight Point Cloud Processing via Robust Quaternion Feature Learning,Zhouzhiming Zhou; Yong He; Qiaoyun Wu; Chaoxu Mu; Ajmal Mian,https://icml.cc/virtual/2026/poster/60659,,"Focuses on point cloud, cloud processing, robust quaternion, quaternion feature, and qpoint end-to-end."
