title,authors,url,session,abstract_takeaway
A Linear Expectation Constraint for Selective Prediction and Routing with False-Discovery Control,Zhiyuan Wang; Aniri -; Tianlong Chen; Yue Zhang; Heng Tao Shen; Xiaoshuang Shi; Kaidi Xu,https://icml.cc/virtual/2026/poster/63016,,"Focuses on fdr control, linear expectation, expectation constraint, selective prediction, and question answering."
A robust PPG foundation model using multimodal physiological supervision,Eloy Geenjaar; Vince Calhoun; scott daly; Gouthaman KV; Lie Lu; Trisha Mittal; Daniel P. Darcy,https://icml.cc/virtual/2026/poster/64846,Poster Session 7,"Focuses on ppg foundation, robust ppg, icu datasets, foundation multimodal, and multimodal physiological."
ACO-MoE-LoRA: Evolving-while-Training for Adapting Segment Anything Model 2 to Specialized Domains,Kaiyi Luo; Bangjun Wang; Li Zhang; Fanzhang Li; Fei Zhu; Jiaqing Fan,https://icml.cc/virtual/2026/poster/66759,Poster Session 6,"Focuses on segment anything, specialized domains, aco-moe-lora evolving-while-training, evolving-while-training adapting, and adapting segment."
Alethia: a Foundational Encoder for Voice Deepfakes,Yi Zhu; Brahmi Dwivedi; Jayaram Raghuram; Surya Koppisetti,https://icml.cc/virtual/2026/poster/61173,Poster Session 1,"Focuses on alethia foundational, voice deepfake, deepfake detection, detection localization, and embedding prediction."
Are Common Substructures Transferable? Understanding Transferability in Graph Pretraining under Riemannian Geometry,Li Sun; Zhenhao Huang; Yiding Wang; Qin Chen; Pietro Lió; Philip Yu,https://icml.cc/virtual/2026/poster/66087,Poster Session 7,"Focuses on intrinsic geometry, common substructures, substructures transferable, riemannian geometry, and vector bundle."
Attend to Anything: Foundation Model for Unified Human Attention Modeling,Wenzhuo Zhao; Ronghao Xian; Keren Fu; Qijun Zhao,https://icml.cc/virtual/2026/poster/61103,Poster Session 1,"Focuses on attention modeling, attend anything, human attention, anything foundation, and foundation unified."
Attn-QAT: 4-Bit Attention With Quantization-Aware Training,Peiyuan Zhang; Matthew Noto; Wenxuan Tan; Chengquan Jiang; Will Lin; Wei Zhou; Hao Zhang,https://icml.cc/virtual/2026/poster/61474,Poster Session 6,"Focuses on fp4 attention, bit attention, quantization-aware training, backward pass, and attn-qat bit."
Balancing Understanding and Generation in Discrete Diffusion Models,Yue Liu; Yuzhong Zhao; Zheyong Xie; Qixiang Ye; Jianbin Jiao; Yao Hu; Shaosheng Cao; Liu,https://icml.cc/virtual/2026/poster/61499,Poster Session 3,"Focuses on diffusion language, generation quality, balancing understanding, understanding generation, and generation discrete."
Being More Lightweight and Practical: Mini-sized Contrastive Learning Pre-trained Models for Fine-grained Traffic Task,Shuhao Li; Weidong Yang; Ben Fei; Yue Cui; Lipeng Ma; Fan Zhang,https://icml.cc/virtual/2026/poster/66525,Poster Session 4,"Focuses on fine-grained traffic, traffic prediction, lightweight practical, practical mini-sized, and mini-sized contrastive."
Causal Dependency-Aware Unsupervised Routing for Large Reasoning Models,Jiacheng Liu; Hao Liu; Xiaofeng Hou; Wei Xue; Yike Guo,https://icml.cc/virtual/2026/poster/64247,Poster Session 7,"Focuses on unsupervised routing, large reasoning, causal dependency-aware, dependency-aware unsupervised, and routing large."
Causal Fine-Tuning under Latent Confounded Shift,Jialin Yu; Yuxiang Zhou; Haoxuan Li; Junchi Yu; Mengyue Yang; Yulan He; Nevin Zhang; Phil Torr; Ricardo Silva,https://icml.cc/virtual/2026/poster/64474,Poster Session 5,"Focuses on latent confounded, confounded shift, causal fine-tuning, fine-tuning latent, and shift adapting."
CoLA: Cross-Modal Low-rank Adaptation for Multimodal Downstream Tasks,Wish Suharitdamrong; Tony Alex; Muhammad Awais; Sara Atito,https://icml.cc/virtual/2026/poster/65985,Poster Session 6,"Focuses on low-rank adaptation, cross-modal low-rank, multimodal tasks, cola cross-modal, and adaptation multimodal."
Data Selection for Fine-tuning Vision Language Models via Cross Modal Alignment Trajectories,Dang Nguyen; Nilay Naharas; Neslihan Bulut; MohammadHossein Bateni; Vahab Mirrokni; Baharan Mirzasoleiman,https://icml.cc/virtual/2026/poster/63127,,"Focuses on attention matrices, selection fine-tuning, fine-tuning vision, vision language, and language cross."
Dissecting Multimodal In-Context Learning: Modality Asymmetries and Circuit Dynamics in modern Transformers,Yiran Huang; Karsten Roth; Quentin Bouniot; Wenjia Xu; Zeynep Akata,https://icml.cc/virtual/2026/poster/62542,Poster Session 6,"Focuses on modern transformers, icl modern, multimodal icl, dissecting multimodal, and multimodal in-context."
Diversity Matters: Revisiting Test-Time Compute in Vision-Language Models,Yijie Tong; Yifan Hou; Shaobo Cui; Antoine Bosselut; Mrinmaya Sachan,https://icml.cc/virtual/2026/poster/63569,Poster Session 6,"Focuses on test-time compute, ttc strategies, visual reasoning, diversity matters, and matters revisiting."
End-to-End Compression for Tabular Foundation Models,Guri Zabërgja; Rafiq Kamel; Arlind Kadra; Christian Frey; Josif Grabocka,https://icml.cc/virtual/2026/poster/65994,Poster Session 1,"Focuses on tabular foundation, transformer architecture, inference time, end-to-end compression, and compression tabular."
FedPissa: Towards Federated Personalized Adaptation of Foundation Models via LoRA Subspace Mapping,Wenwen He; Wenke Huang; Yi Liu; Jian Liang; Xirui Li; Guansong Pang; Mang Ye,https://icml.cc/virtual/2026/poster/63191,Poster Session 7,"Focuses on personalized adaptation, fedpissa federated, federated personalized, adaptation foundation, and foundation lora."
Finding the Correct Visual Evidence Without Forgetting: Mitigating Hallucination in LVLMs via Inter-Layer Visual Attention Discrepancy,Yutong Xie; Zhenglin Hua; Ran Wang; Wing W. Y. Ng; Xizhao Wang; Yuheng Jia,https://icml.cc/virtual/2026/poster/63514,Poster Session 7,"Focuses on visual evidence, correct visual, saliency map, during generation, and obtain attention."
Focusing Where Vision Matters: Selective Training for Large Vision Language Models via Visual Information Gain,Seulbi Lee; Sangheum Hwang,https://icml.cc/virtual/2026/poster/60557,Poster Session 7,"Focuses on samples tokens, selective training, large vision, vision language, and visual information."
From Absolute to Relative: Rethinking Reward Shaping in Group-Based Reinforcement Learning,Wenzhe Niu; Wei He; Zongxia Xie; Jinpeng Ou; Huichuan Fan; Yuchen Ge; Yanru Sun; Ziyin Wang; Yizhao Sun; Chengshun Shi; Jiuchong Gao; Jinghua Hao; Renqing He,https://icml.cc/virtual/2026/poster/62345,Poster Session 6,"Focuses on reward shaping, absolute relative, relative rethinking, rethinking reward, and shaping group-based."
From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges,Yiming Zhong; Yaoyu He; Zemin Yang; Pengfei Tian; Yifan Huang; Qingqiu Huang; Xinge Zhu; Yuexin Ma,https://icml.cc/virtual/2026/poster/62908,Poster Session 3,"Focuses on anchoring generative, local dynamics, noise intent, intent anchoring, and generative vla."
Gated Relational Alignment via Confidence-based Distillation for Efficient VLMs,Yanlong Chen; Amir Habibian; Luca Benini; Yawei Li,https://icml.cc/virtual/2026/poster/60706,Poster Session 2,"Focuses on gated relational, relational alignment, alignment confidence-based, confidence-based distillation, and distillation vlms."
GePBench: Evaluating Fundamental Geometric Perception for Multimodal Large Language Models,Shangyu Xing; Changhao Xiang; Xinyu Liu; Zhangtai Wu; Zhen Wu; Yue YIfan; Yuteng Han; Fei Zhao; Xinyu Dai,https://icml.cc/virtual/2026/poster/64463,Poster Session 3,"Focuses on geometric perception, multimodal large, geometric shapes, gepbench evaluating, and evaluating fundamental."
Harnessing Reasoning Trajectories for Hallucination Detection via Answer-agreement Representation Shaping,Jianxiong Zhang; Bing Guo; Yuming Jiang; Haobo Wang; Bo An; Sean Du,https://icml.cc/virtual/2026/poster/62434,Poster Session 7,"Focuses on hallucination detection, answer-agreement representation, representation shaping, harnessing reasoning, and reasoning trajectories."
