title,authors,url,session,abstract_takeaway
3D MeanFlow: One-Step Point Cloud Completion and Generation via Average-Velocity Transport,Haowen Zhong; Jiujun Cheng; Haowen Wang; Chao Wei; Lu Yang; Qichao Mao; Shangce Gao,https://icml.cc/virtual/2026/poster/65253,Poster Session 7,"Focuses on point cloud, cloud completion, completion generation, average-velocity transport, and transport point."
A Diffusive Classification Loss for Learning Energy-based Generative Models,RuiKang OuYang; Louis Grenioux; Jose Miguel Hernandez-Lobato,https://icml.cc/virtual/2026/poster/64038,Poster Session 1,"Focuses on diffusive classification, classification loss, loss energy-based, energy-based generative, and generative score-based."
A Kinetic-Energy Perspective of Flow Matching,Ziyun Li; Huancheng Hu; Soon Hoe Lim; Xuyu Li; Fei Gao; Enmao Diao; ZEZHEN DING; Michalis Vazirgiannis; Henrik Boström,https://icml.cc/virtual/2026/poster/62806,Poster Session 2,"Focuses on flow matching, kinetic-energy perspective, perspective flow, matching flow-based, and flow-based generative."
A Time-Reparameterized Cumulative Intensity Extrapolation Sampler for Discrete Flow Matching,Feiyang Fu; Hehe Fan,https://icml.cc/virtual/2026/poster/64114,Poster Session 8,"Focuses on time-reparameterized cumulative, cumulative intensity, intensity extrapolation, discrete flow, and flow matching."
A Unifying View of Variational Generative Wasserstein Flows,Paul Caucheteux; Clément Bonet; Anna Korba,https://icml.cc/virtual/2026/poster/61240,Poster Session 8,"Focuses on wasserstein flows, wasserstein gradient, gradient flows, generative wasserstein, and unifying view."
AAD-1: Asymmetric Adversarial Distillation for One-Step Autoregressive Video Generation,Haobo Li; Yanhong Zeng; Yunhong Lu; Jiapeng Zhu; Hao Ouyang; Qiuyu Wang; Ka Leong Cheng; Yujun Shen; Zhipeng Zhang,https://icml.cc/virtual/2026/poster/60859,,"Focuses on adversarial distillation, one-step autoregressive, autoregressive video, video generation, and motion collapse."
Adapting Noise to Data: Generative Flows from Learned 1D Processes,Jannis Chemseddine; Gregor Kornhardt; Richard Duong; Gabriele Steidl,https://icml.cc/virtual/2026/poster/60918,Poster Session 5,"Focuses on adapting noise, noise generative, generative flows, flows learned, and learned processes."
Advantage Weighted Matching: Aligning RL with Pretraining in Diffusion Models,Shuchen Xue; Chongjian GE; Shilong Zhang; Yichen Li; Zhi-Ming Ma,https://icml.cc/virtual/2026/poster/61737,Poster Session 1,"Focuses on advantage weighted, weighted matching, flow matching, matching aligning, and aligning pretraining."
Adversarial Flow Models,Shanchuan Lin; Ceyuan Yang; Zhijie Lin; Hao Chen; Haoqi Fan,https://icml.cc/virtual/2026/poster/66487,Poster Session 8,"Focuses on adversarial flow, generator learns, flow present, present adversarial, and flow class."
Alignment-Guided Score Matching for Text-to-Image Alignment in Diffusion Models,Jaa-Yeon Lee; Yeobin Hong; Taesung Kwon; Jong Chul YE,https://icml.cc/virtual/2026/poster/60920,Poster Session 4,"Focuses on failure cases, alignment-guided score, score matching, matching text-to-image, and text-to-image alignment."
Ambient Dataloops: Generative Models for Dataset Refinement,Adrian Rodriguez-Munoz; William Daspit; Adam Klivans; Antonio Torralba; Constantinos Daskalakis; Giannis Daras,https://icml.cc/virtual/2026/poster/64608,Poster Session 3,"Focuses on ambient dataloops, dataloops generative, generative dataset, dataset refinement, and refinement ambient."
Analytic Bijections for Smooth and Interpretable Normalizing Flows,Mathis Gerdes; Miranda C. N. Cheng,https://icml.cc/virtual/2026/poster/65827,Poster Session 8,"Focuses on analytic bijections, normalizing flows, analytically invertible, coupling flows, and radial flows."
Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,Shuchen Xue; Tianyu Xie; Tianyang Hu; Zijin Feng; Jiacheng Sun; Kenji Kawaguchi; Zhenguo Li; Zhi-Ming Ma,https://icml.cc/virtual/2026/poster/61245,Poster Session 4,"Focuses on masked diffusion, any-order gpt, gpt masked, diffusion decoupling, and decoupling formulation."
Autoregression with Self-Token Prediction,Dengsheng Chen; Yangming Shi; Enhua Wu,https://icml.cc/virtual/2026/poster/64654,Poster Session 7,"Focuses on self-token prediction, autoregression self-token, prediction conventional, conventional autoregressive, and autoregressive achieve."
Best of Both Worlds: Multimodal Reasoning and Generation via Unified Discrete Flow Matching,Onkar Susladkar; Tushar Prakash; Gayatri Deshmukh; Kiet Nguyen; Jiaxun Zhang; Adheesh Juvekar; Tianshu Bao; Lin Chai; Sparsh Mittal; Inderjit Dhillon; Ismini Lourentzou,https://icml.cc/virtual/2026/poster/62331,Poster Session 8,"Focuses on unified discrete, understanding generation, best worlds, worlds multimodal, and multimodal reasoning."
Beyond Generative Priors: Minority Sampling with JEPA-Guided Diffusion,Sol Park; Soobin Um,https://icml.cc/virtual/2026/poster/63949,Poster Session 5,"Focuses on jepa guidance, minority sampling, generative priors, minority samples, and beyond generative."
Beyond Pixel Context Windows: Neural World Simulators with Persistent 3D State,Samuel Garcin; Tom Walker; Steven McDonagh; Tim Pearce; Hakan Bilen; Tianyu He; Kaixin Wang; Jiang Bian,https://icml.cc/virtual/2026/poster/60565,Poster Session 7,"Focuses on spatial memory, context windows, beyond pixel, pixel context, and windows neural."
Boost the Identity-Preserving Embedding for Consistent Visual Generation,Zixun Xia; Shuyu Guo; Boqian Li; jian Yang; Kai Wang; Yaxing Wang,https://icml.cc/virtual/2026/poster/61511,Poster Session 4,"Focuses on boost identity-preserving, identity-preserving embedding, frame prompts, embedding consistent, and consistent visual."
Boosting Video Diffusion Models via Masked Autoencoders as Tokenizers,Zhan Tong; Tinne Tuytelaars,https://icml.cc/virtual/2026/poster/61035,Poster Session 4,"Focuses on video diffusion, masked autoencoders, tokenizers trained, generation quality, and boosting video."
Calibrated Test-Time Guidance for Bayesian Inference,Daniel Geyfman; Felix Draxler; Jan Groeneveld; Hyunsoo Lee; Theofanis Karaletsos; Stephan Mandt,https://icml.cc/virtual/2026/poster/64440,Poster Session 1,"Focuses on test-time guidance, bayesian inference, bayesian posterior, calibrated test-time, and guidance bayesian."
Calibrating Generative Models to Distributional Constraints,Henry Smith; Nathaniel Diamant; Brian Trippe,https://icml.cc/virtual/2026/poster/66188,Poster Session 7,"Focuses on calibrating generative, generative distributional, distributional constraints, constraints generative, and generative frequently."
Cascaded Flow Matching for Heterogeneous Tabular Data with Mixed-Type Features,Markus Mueller; Kathrin Gruber; Dennis Fok,https://icml.cc/virtual/2026/poster/61978,Poster Session 5,"Focuses on mixed-type features, flow matching, representation numerical, numerical features, and cascaded flow."
Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation,Hongzhou Zhu; Min Zhao; Guande He; Hang Su; Chongxuan Li; Jun Zhu,https://icml.cc/virtual/2026/poster/65646,Poster Session 3,"Focuses on causal forcing, real-time video, video generation, architectural gap, and frame-level injectivity."
Comp-Attn: Present-and-Align Attention for Compositional Video Genneration,Hongyu Zhang; Yufan Deng; Shenghai Yuan; Yian Zhao; Peng Jin; Xuehan Hou; Chang Liu; Jie Chen,https://icml.cc/virtual/2026/poster/66604,Poster Session 7,"Focuses on subject presence, multiple subjects, comp-attn present-and-align, present-and-align attention, and attention compositional."
Concept-Guided Tokenization: Closing the Gap Between Reconstruction and Generation,Yunqiao Yang; Haokun Lin; Guanzhong Wu; Ying Wei,https://icml.cc/virtual/2026/poster/60979,Poster Session 8,"Focuses on image generation, latent representations, low-level visual, generation task, and concept-guided tokenization."
Condition-Aware Graph Flow Matching for Modeling the Distributions of Complex Physical Systems,Xiaochao Deng; Jie Chen; Xiaogang Deng,https://icml.cc/virtual/2026/poster/60502,Poster Session 5,"Focuses on flow matching, physical systems, condition-aware graph, graph flow, and full distributions."
Conflict-Aware Additive Guidance for Flow Models under Compositional Rewards,Xuehui Yu; Fucheng Cai; Meiyi Wang; Xiaopeng Fan; Harold Soh,https://icml.cc/virtual/2026/poster/65470,Poster Session 3,"Focuses on off-manifold drift, conflict-aware additive, additive guidance, rectifies off-manifold, and guidance flow."
Contrastive Diffusion Alignment: Learning Structured Latents for Controllable Generation,Ruchi Sandilya; Sumaira Perez; Charles Lynch; Lindsay Victoria; Benjamin Zebley; Derrick Buchanan; Mahendra Bhati; Nolan Williams; Timothy Spellman; FAITH GUNNING; Conor Liston; Logan Grosenick,https://icml.cc/virtual/2026/poster/61657,Poster Session 1,"Focuses on diffusion latents, contrastive diffusion, diffusion alignment, geometry layer, and editing rendering."
ContrastiveCFG: Guiding Diffusion Sampling by Contrasting Positive and Negative Concepts,Jinho Chang; Changsun Lee; Hyungjin Chung; Jong Chul YE,https://icml.cc/virtual/2026/poster/64031,Poster Session 4,"Focuses on diffusion sampling, conditional diffusion, condition contrastive, contrastive loss, and contrastivecfg guiding."
CountsDiff: A diffusion model on the natural numbers for generation and imputation of count-based data,Renzo Soatto; Anders Hoel; Greycen Ren; Shorna Alam; Stephen Bates; Nikolaos Daskalakis; Caroline Uhler; Maria Skoularidou,https://icml.cc/virtual/2026/poster/62822,Poster Session 5,"Focuses on countsdiff diffusion, natural numbers, rna-seq imputation, diffusion natural, and numbers generation."
d3LLM: Ultra-Fast Diffusion LLM using Pseudo-Trajectory Distillation,Yu-Yang Qian; Junda Su; Lanxiang Hu; Peiyuan Zhang; Zhijie Deng; Peng Zhao; Hao Zhang,https://icml.cc/virtual/2026/poster/61269,Poster Session 2,"Focuses on accuracy parallelism, pseudo-trajectory distillation, diffusion large, parallelism during, and d3llm ultra-fast."
Demystifying MaskGIT Sampler and Beyond: Adaptive Order Selection in Masked Diffusion,Satoshi Hayakawa; Yuhta Takida; Masaaki Imaizumi; Hiromi Wakaki; Yuki Mitsufuji,https://icml.cc/virtual/2026/poster/68828,Poster Session 5,"Focuses on masked diffusion, index selection, token sampling, maskgit sampler, and temperature sampling."
Dependency-Aware Parallel Decoding via Attention for Diffusion LLMs,Bumjun Kim; Dongjae Jeon; Moongyu Jeon; Albert No,https://icml.cc/virtual/2026/poster/64624,Poster Session 4,"Focuses on parallel decoding, dependency-aware parallel, diffusion llms, decoding attention, and attention diffusion."
DetailMaster: Can Your Text-to-Image Model Handle Long Prompts?,Qirui Jiao; Daoyuan Chen; Yilun Huang; Xika Lin; Ying Shen; Yaliang Li,https://icml.cc/virtual/2026/poster/62789,Poster Session 8,"Focuses on long prompts, detailmaster your, your text-to-image, text-to-image handle, and handle long."
Diffusion Models Preferentially Memorize Prototypical Examples or: Why Does My Diffusion Model Love Slop?,Marta Aparicio Rodriguez; Anastasia Borovykh; Grigorios A Pavliotis; Daniel Korchinski,https://icml.cc/virtual/2026/poster/63185,Poster Session 4,"Focuses on samples memorized, production rules, common substrings, diffusion preferentially, and preferentially memorize."
DirectEdit: Step-Level Accurate Inversion for Flow-Based Image Editing,Desong Yang; Mang Ye,https://icml.cc/virtual/2026/poster/66686,Poster Session 1,"Focuses on image editing, inversion process, directedit step-level, step-level accurate, and accurate inversion."
Distilling Geometry Priors for 3D-Consistent Video Generation,Hongyang Du; Hongyang Du; Xiaoyan Cong; Runhao Li; Jingcheng Ni; Aman Agarwal; Zeqi Zhou; Zekun Li; Randall Balestriero; Yue Wang,https://icml.cc/virtual/2026/poster/61696,Poster Session 3,"Focuses on distilling geometry, geometry priors, priors d-consistent, d-consistent video, and video generation."
DIVER: Diving Deeper into Distilled Data via Expressive Semantic Recovery,Qianxin Xia; Zhiyong Shu; Wenbo Jiang; Jiawei Du; Jielei Wang; Guoming Lu,https://icml.cc/virtual/2026/poster/64267,Poster Session 8,"Focuses on semantic inheritance, semantic guidance, diver diving, diving deeper, and deeper distilled."
Efficient Diffusion Models under Nonconvex Equality and Inequality constraints via Landing,Kijung Jeon; Michael Muehlebach; Molei Tao,https://icml.cc/virtual/2026/poster/66143,Poster Session 5,"Focuses on diffusion nonconvex, equality inequality, inequality constraints, constrained diffusion, and nonconvex feasible."
Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching,Jeongwoo Shin; Jinhwan Sul; Joonseok Lee; Jaewoong Choi; Jaemoo Choi,https://icml.cc/virtual/2026/poster/66713,Poster Session 2,"Focuses on schr dinger, dinger bridge, generative modeling, adjoint schr, and bridge matching."
Enhancing Reasoning for Diffusion LLMs via Distribution Matching Policy Optimization,Yuchen Zhu; Wei Guo; Jaemoo Choi; Petr Molodyk; Bo Yuan; Molei Tao; Yongxin Chen,https://icml.cc/virtual/2026/poster/66806,Poster Session 2,"Focuses on distribution matching, matching policy, policy optimization, enhancing reasoning, and reasoning diffusion."
Enhancing Train-Free Infinite-Frame Generation for Consistent Long Videos,xiaokun Feng; Jiashu Zhu; Meiqi Wu; Chubin Chen; Fangyuan Mao; Haiyang Guo; Jiahong Wu; Xiangxiang Chu; Kaiqi Huang,https://icml.cc/virtual/2026/poster/64244,Poster Session 7,"Focuses on video generation, long videos, enhancing train-free, train-free infinite-frame, and infinite-frame generation."
