title,authors,url,session,abstract_takeaway
A Unifying Relational Perspective on Expressive Lottery Tickets,Lorenz Kummer; Samir Moustafa; Anatol Ehrlich; Franka Bause; Marco Nennstiel; Przemysław Wałęga; Nils M. Kriege,https://icml.cc/virtual/2026/poster/61017,Poster Session 7,"Focuses on expressive lottery, unifying relational, relational perspective, perspective expressive, and lottery tickets."
Adaptive Node Feature Selection for Graph Neural Networks,Ali Azizpour; Madeline Navarro; Santiago Segarra,https://icml.cc/virtual/2026/poster/63825,Poster Session 7,"Focuses on feature selection, feature importance, adaptive node, node feature, and selection graph."
BOCLOAK: Optimal Transport-Guided Adversarial Attacks on Graph Neural Network-Based Bot Detection,Kunal Mukherjee; Zulfikar Alom; Tran Gia Bao Ngo; Cuneyt Akcora; Murat Kantarcioglu,https://icml.cc/virtual/2026/poster/62385,Poster Session 7,"Focuses on bot detection, adversarial attacks, bocloak optimal, graph neural, and bot detectors."
Bridging Structure and Semantics: Uncertainty-Modulated Dual-Path Diffusion for Robust Text-Attributed Graph Learning,Zhizhi Yu; Jiachen Liu; Qingyu Li; Dongxiao He; Di Jin,https://icml.cc/virtual/2026/poster/65665,Poster Session 1,"Focuses on uncertainty-modulated dual-path, dual-path diffusion, diffusion robust, robust text-attributed, and text-attributed graph."
CELL: A Causal Perspective for Fairness-aware Graph Adaptation,Hourun Li; Yifan Wang; Qinghua Ran; Junyu Luo; Jia Yang; Changling Zhou; Zhiping Xiao; Wei Ju; Xiao Luo; Ming Zhang,https://icml.cc/virtual/2026/poster/65733,Poster Session 1,"Focuses on fairness-aware graph, graph adaptation, sensitive attributes, unlabeled target, and cell causal."
Certifying Graph Neural Networks Against Label and Structure Poisoning,Lukas Gosch; Xichuan Chen; Yan Scholten; Stephan Günnemann,https://icml.cc/virtual/2026/poster/62041,,"Focuses on label structure, structure poisoning, graph partition, poisoning sparse, and sparse conditions."
Clustering as Reasoning: A k -Means Interpretation of Chain-of-Thought Graph Learning,Xuanting Xie; Zhaochen Guo; Bingheng Li; Xingtong Yu; Zhifei Liao; zhao kang; Yuan Fang,https://icml.cc/virtual/2026/poster/63141,Poster Session 1,"Focuses on clustering reasoning, means interpretation, cot-based graph, cot reasoning, and reasoning means."
"DANCE: Dynamic, Available, Neighbor-gated Condensation for Federated Text-Attributed Graphs",Zekai Chen; Haodong Lu; Xunkai Li; Henan Sun; Jia Li; Hongchao Qin; Rong-Hua Li; Guoren Wang,https://icml.cc/virtual/2026/poster/63257,Poster Session 3,"Focuses on dance dynamic, dynamic neighbor-gated, neighbor-gated condensation, condensation federated, and federated text-attributed."
DiP-G: Discrete Prompting for Graph Neural Networks,Yumeng Zhao; Huiying Hu; Steve Wen; Junjie Shen; Bei Hua,https://icml.cc/virtual/2026/poster/65482,Poster Session 7,"Focuses on discrete prompting, graph neural, graph prompting, dip-g discrete, and prompting graph."
Discriminative Mixture-of-Experts on Graphs with Reliable Expert Fusion,Haoyue Deng; Menghui Wang; Yunlong Zhou; Ziwei Zhang; Ran Zhang; Chunming Hu; Xiao Wang,https://icml.cc/virtual/2026/poster/62265,Poster Session 7,"Focuses on diverse graph, routing decisions, discriminative mixture-of-experts, mixture-of-experts graphs, and graphs reliable."
DREAM: Dual-Standard Semantic Homogeneity with Dynamic Optimization for Graph Learning with Label Noise,Yusheng Zhao; Jiaye Xie; Qixin Zhang; Weizhi Zhang; Xiao Luo; Zhiping Xiao; Philip Yu; Ming Zhang,https://icml.cc/virtual/2026/poster/61381,Poster Session 7,"Focuses on label noise, semantic homogeneity, dynamic optimization, graph label, and dual-standard semantic."
Dual-channel Dynamic Graph Neural Networks with Adaptive Adjacency Learning and Multi-scale Representation Fusion,Youqing Wang; Jiahao Long; Tianxiang Zhao; Man Cao; Mengyuan Xin; Jiapu Wang; Junbin Gao; Jipeng Guo,https://icml.cc/virtual/2026/poster/63558,Poster Session 7,"Focuses on graph neural, dual-channel dynamic, dynamic graph, multi-scale representation, and representation fusion."
Entangled No More: Multi-Domain Decoupling for Robust Dynamic Graph Neural Networks,Youda Mo; Chaobo He; Junwei Cheng; Peng Mei; Quanlong Guan,https://icml.cc/virtual/2026/poster/62451,Poster Session 6,"Focuses on decoupling robust, dynamic graph, multi-domain decoupling, graph neural, and entangled multi-domain."
Federated Graph Learning via Structure-Aware Fusion Using a Kalman Framework with Learnable Dynamics,Bisheng Tang; Xiaojun Chen,https://icml.cc/virtual/2026/poster/63973,,"Focuses on federated graph, kalman learnable, learnable dynamics, structural heterogeneity, and graph structure-aware."
Fixed Aggregation Features Can Rival GNNs,Celia Rubio-Madrigal; Rebekka Burkholz,https://icml.cc/virtual/2026/poster/62454,Poster Session 7,"Focuses on fixed aggregation, aggregation features, gnns graph, neighborhood aggregations, and mean aggregation."
From Moments to Models: Graphon-Mixture Learning for Mixup and Contrastive Learning,Ali Azizpour; Reza Ramezanpour; Santiago Segarra,https://icml.cc/virtual/2026/poster/62690,Poster Session 4,"Focuses on graphs generated, motif densities, graphon mixture, mixture components, and graph contrastive."
Gauge-Equivariant Graph Networks via Self-Interference Cancellation,Yoonhyuk Choi; Jiho Choi; Jiwoo Kang,https://icml.cc/virtual/2026/poster/62366,,"Focuses on gauge-equivariant graph, graph networks, networks self-interference, self-interference cancellation, and cancellation graph."
Generative Representation Learning on Hyper-relational Knowledge Graphs via Masked Discrete Diffusion,Jaejun Lee; Seheon Kim; Joyce Whang,https://icml.cc/virtual/2026/poster/61945,Poster Session 1,"Focuses on link prediction, generative representation, hyper-relational knowledge, knowledge graphs, and masked discrete."
GFFMERGE: Efficient Merging of Graph Neural Force Fields and Beyond,PARTH VERMA; Parv P Singh; Vipul Garg; Ishita Thakre; N M Anoop Krishnan; Sayan Ranu,https://icml.cc/virtual/2026/poster/66365,Poster Session 1,"Focuses on graph neural, neural force, force fields, vision language, and merging gnns."
GFMate: Empowering Graph Foundation Models with Pre-training-agnostic Test-time Prompt Tuning,Yan Jiang; Ruihong Qiu; Zi Huang,https://icml.cc/virtual/2026/poster/65117,Poster Session 1,"Focuses on prompt tuning, graph foundation, pre-training-agnostic test-time, test-time prompt, and graph prompt."
GI-GCN: Global Interacted Graph Convolutional Networks via Dominant Sets for Graph Classification,Xinya Qin; Lu Bai; Lixin Cui; Ming Li; Hangyuan Du; Ziyu Lyu; Xin Jin,https://icml.cc/virtual/2026/poster/63765,,"Focuses on graph convolutional, global interacted, interacted graph, convolutional networks, and graph classification."
GOCM: Single-Step Graph Outlier Synthesis via Origin Consistency Model,Yifan Li; Zhihui Wang; Changmiao Wang; Guangxiao Ma; Peng Zhang,https://icml.cc/virtual/2026/poster/65857,,"Focuses on graph outlier, outlier synthesis, origin consistency, gocm single-step, and single-step graph."
GP2F: Cross-Domain Graph Prompting with Adaptive Fusion of Pre-trained Graph Neural Networks,Dongxiao He; Wenxuan Sun; Yongqi Huang; Jitao Zhao; Di Jin,https://icml.cc/virtual/2026/poster/63086,Poster Session 7,"Focuses on adaptive fusion, pre-trained graph, pre-trained knowledge, task-specific adaptation, and gp2f cross-domain."
Graph Neural Networks Are Not Continuous Across Graph Resolutions,Christian Koke; Abhishek Saroha; Yuesong Shen; Marvin Eisenberger; Bastian Rieck; Michael Bronstein; Daniel Cremers,https://icml.cc/virtual/2026/poster/61479,Poster Session 7,"Focuses on graph neural, networks continuous, continuous graph, graph resolutions, and resolutions contrary."
GraphFLEx: Unsupervised Structure Learning F ramework for L arge Ex panding Graph s,Mohit Kataria; Nikita Malik; Sandeep Kumar; Jayadeva Jayadeva,https://icml.cc/virtual/2026/poster/62553,Poster Session 7,"Focuses on graph structure, graphflex unsupervised, unsupervised structure, structure ramework, and ramework arge."
GraphP-FL: Personalized Federated Graph Learning via Dynamic Structure Awareness and Fisher Information Elastic Alignment,Haoyu Chen; Jinsong Wang; Zening Zhao; Kai Shi; Zongpu Wei; Jianhao Li,https://icml.cc/virtual/2026/poster/66484,Poster Session 6,"Focuses on federated graph, parameter importance, topological noise, catastrophic forgetting, and graphp-fl personalized."
GraphPFN: A Prior-Data Fitted Network for Graph Node-Level Tasks,Dmitry Eremeev; Oleg Platonov; Gleb Bazhenov; Artem Babenko; Liudmila Prokhorenkova,https://icml.cc/virtual/2026/poster/66511,Poster Session 1,"Focuses on node-level tasks, graph foundation, prior-data fitted, graph node-level, and graphpfn prior-data."
Heterogeneity-Aware Knowledge Sharing for Graph Federated Learning,Wentao Yu; Sheng Wan; Shuo Chen; Bo Han; Chen Gong,https://icml.cc/virtual/2026/poster/60770,Poster Session 7,"Focuses on knowledge sharing, graph federated, spectral gnns, node features, and features structural."
Hierarchical Multi Scale Graph Neural Networks: Scalable Heterophilous Learning with Oversmoothing and Oversquashing Mitigation,MD SAZZAD Hossen; Avimanyu Sahoo,https://icml.cc/virtual/2026/poster/63439,,"Focuses on hierarchical multi, graph neural, spectral graph, graph classification, and suboptimal polynomial."
HSMAD: Heterophily-Driven Spectral and Manifold Learning for Graph Anomaly Detection,Chen Zhu; YAYING ZHANG,https://icml.cc/virtual/2026/poster/61639,Poster Session 2,"Focuses on anomaly detection, graph anomaly, spectral filtering, average f1-macro, and hsmad heterophily-driven."
Is Fixing Schema Graphs Necessary? Full-Resolution Graph Structure Learning for Relational Deep Learning,Yi Huang; Qingyun Sun; Jia Li; Xingcheng Fu; Jianxin Li,https://icml.cc/virtual/2026/poster/66492,,"Focuses on message passing, graph structure, graph construction, relational semantics, and downstream tasks."
Is Graph Mixup Beneficial? Investigating Interpolation And Empirical Performance of Graph Mixup Methods,Simon Forbat; Rainer Gemulla,https://icml.cc/virtual/2026/poster/64758,Poster Session 8,"Focuses on graph mixup, mixup beneficial, beneficial investigating, investigating interpolation, and interpolation empirical."
L2G-NET: Local to Global Spectral Graph Neural Networks via Cauchy Factorizations,Samuel Fernandez; Eduardo Pavez; Antonio Ortega,https://icml.cc/virtual/2026/poster/62060,Poster Session 6,"Focuses on spectral graph, graph neural, spectral representations, subgraphs then, and l2g-net local."
Learnable Kernel Density Estimation for Graphs and Its Application to Graph-Level Anomaly Detection,Xudong Wang; Ziheng Sun; Chris Ding; Jicong Fan,https://icml.cc/virtual/2026/poster/65183,Poster Session 6,"Focuses on density estimation, kernel density, estimation graphs, anomaly detection, and graph density."
Learning Long Range Spatio-Temporal Representations over Continuous Time Dynamic Graphs with State Space Models,Ayushman Raghuvanshi; Thummaluru Siddartha Reddy; Sundeep Prabhakar Chepuri; Mahesh Chandran,https://icml.cc/virtual/2026/poster/63979,Poster Session 7,"Focuses on dynamic graphs, long range, continuous-time dynamic, range spatio-temporal, and spatio-temporal representations."
Learning the Neighborhood: Contrast-Free Multimodal Self-Supervised Molecular Graph Pretraining,Boshra Ariguib; Mathias Niepert; Andrei Manolache,https://icml.cc/virtual/2026/poster/63596,Poster Session 7,"Focuses on molecular representations, multimodal self-supervised, neighborhood contrast-free, contrast-free multimodal, and self-supervised molecular."
Message Passing on the Edge: Towards Scalable and Expressive GNNs,Pablo Barcelo; Fabian Jogl; Alexander Kozachinskiy; Matthias Lanzinger; Stefan Neumann; Cristobal Rojas,https://icml.cc/virtual/2026/poster/65412,Poster Session 1,"Focuses on message passing, passing edge, edge scalable, scalable expressive, and expressive gnns."
Message Tuning Outshines Graph Prompt Tuning: A Prismatic Space Perspective,Yancheng Chen; Dun Ma; Shuai Zhang; Yang Liu; Xixun Lin; Xiangyu Zhao; Wenguo Yang; Wei Chen; Chuan Zhou,https://icml.cc/virtual/2026/poster/65770,Poster Session 1,"Focuses on graph prompt, prompt tuning, adaptation capacity, prismatic space, and upper bound."
MIMO-LP: A Multi-Input Multi-Output Framework for Subgraph-based Link Prediction,Yixin Song; Guangchi Liu; Xiangyu Xu; Shaofeng Li; Zhen Ling; Yiwei Wang; Yujun Cai,https://icml.cc/virtual/2026/poster/66260,Poster Session 7,"Focuses on mimo-lp multi-input, multi-input multi-output, link prediction, during training, and training inference."
Multi-scale Explainer for Graph Neural Networks,Lutong Wu; Shiying Cheng; Zhiqiang Wang; Jianqing Liang; Peng Song; Xizhao Luo; Jiye Liang,https://icml.cc/virtual/2026/poster/62649,,"Focuses on multi-scale explainer, graph neural, key subgraphs, explainer graph, and networks explainability."
MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning,Junyi Yan; KE LIANG; Hao Yu; Meng Liu; Hao Tan; Tianrui Liu; Jun-Jie Huang; Xinwang Liu,https://icml.cc/virtual/2026/poster/60641,Poster Session 7,"Focuses on mv-fgad effective, effective federated, federated graph, graph anomaly, and anomaly detection."
Normality Calibration in Semi-supervised Graph Anomaly Detection,Guolei Zeng; Hezhe Qiao; Guoguo Ai; Jinsong Guo; Guansong Pang,https://icml.cc/virtual/2026/poster/62208,Poster Session 1,"Focuses on normal nodes, anomaly scores, normality calibration, semi-supervised graph, and graph anomaly."
Plain Transformers are Surprisingly Powerful Link Predictors,Quang Truong; Yu Song; Donald Loveland; Mingxuan Ju; Tong Zhao; Neil Shah; Jiliang Tang,https://icml.cc/virtual/2026/poster/65038,,"Focuses on link prediction, plain transformers, transformers surprisingly, surprisingly powerful, and powerful link."
Position: Graph Condensation Needs a Reset—Move Beyond Full-dataset Training and Model-Dependence,Mridul Gupta; Samyak Jain; Vansh Ramani; HARIPRASAD KODAMANA; Sayan Ranu,https://icml.cc/virtual/2026/poster/67213,Poster Session 1,"Focuses on graph condensation, needs reset, beyond full-dataset, full-dataset training, and position graph."
Predicting Dynamic Stability Landscapes in Synchronization Networks,Christian Nauck; Junyou Zhu; Michael Lindner; Frank Hellmann,https://icml.cc/virtual/2026/poster/65058,,"Focuses on stability landscapes, stability index, stability indices, power grids, and predicting dynamic."
PromptDyG: Test-Time Prompt Adaptation on Dynamic Graphs,Guoguo Ai; Chaoxi Niu; Hui Yan; Joey Tianyi Zhou; Yew Soon ONG; Guansong Pang,https://icml.cc/virtual/2026/poster/60760,Poster Session 7,"Focuses on prompt adaptation, dynamic graphs, graph snapshots, test-time prompt, and adaptation dynamic."
RADE: Unbiased Random Add-Drop Edge as a Regularizer,Danial Saber; Amirali Salehi-Abari,https://icml.cc/virtual/2026/poster/65421,Poster Session 3,"Focuses on unbiased random, random add-drop, add-drop edge, graph perturbations, and drop add."
Reconstruction Outcomes Look Similar but Processes Differ: Improving Context Consistency and Coverage in Graph Masked Auto-Encoder,Geng Tang; Keyu Liu; Xibei Yang; Yuhua Qian,https://icml.cc/virtual/2026/poster/63013,,"Focuses on reconstruction outcomes, graph masked, masked auto-encoder, neighborhood context, and coverage graph."
Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases,Jun Yin; Peng Huo; Bangguo Zhu; Hao Yan; Senzhang Wang; Shirui Pan; Chengqi Zhang,https://icml.cc/virtual/2026/poster/62610,Poster Session 7,"Focuses on relational databases, class imbalance, entity classification, rel-moss imbalanced, and imbalanced relational."
Rethinking Contrastive Learning for Graph Collaborative Filtering: Limitations and A Simple Remedy,Geon Lee; Sunwoo Kim; Kyungho Kim; Kijung Shin,https://icml.cc/virtual/2026/poster/60957,Poster Session 1,"Focuses on neighbor pairs, graph collaborative, collaborative filtering, prediction mechanism, and mechanism gcf."
"Rethinking GNNs and Missing Features: Challenges, Evaluation and a Robust Solution",Francesco Ferrini; Veronica Lachi; Antonio Longa; Bruno Lepri; Akiyoshi Matono; Andrea Passerini; Xin Liu; Manfred Jaeger,https://icml.cc/virtual/2026/poster/65396,Poster Session 1,"Focuses on node features, rethinking gnns, gnns missing, missing features, and features challenges."
