title,authors,url,session,abstract_takeaway
Activation with Intrinsic-Extrinsic Consensus,Tian Qiu; Zunlei Feng; Yang Gao; Bingde Hu; Yi Gao; Mingli Song,https://icml.cc/virtual/2026/poster/60917,Poster Session 6,"Focuses on channel relevance, activation intrinsic-extrinsic, intrinsic-extrinsic consensus, activation mechanisms, and decision weights."
ArcVQ-VAE: A Spherical Vector Quantization Framework with ArcCosine Additive Margin,Jaeyung Kim; YoungJoon Yoo,https://icml.cc/virtual/2026/poster/65953,Poster Session 1,"Focuses on arccosine additive, additive margin, codebook vectors, vector quantization, and arcvq-vae spherical."
Attention Sinks in Diffusion Transformers: A Causal Analysis,FANGZHENG WU; Brian Summa,https://icml.cc/virtual/2026/poster/64096,Poster Session 7,"Focuses on attention sinks, diffusion transformers, causal analysis, analysis attention, and attention mass."
CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer,Jianqiao Zeng; Ruocheng Wang; Yanzhi Liu; Hao Xiong; Junchi Yan,https://icml.cc/virtual/2026/poster/61526,Poster Session 5,"Focuses on neural operator, latent states, persistent state, coevol-no state, and state coordinate."
Controlled Dynamics Attractor Transformer,Cheng Zhang; Minnan Luo; Zesheng Yang; Ming Li; Yong-Jin Liu; Qinghua Zheng,https://icml.cc/virtual/2026/poster/63534,Poster Session 6,"Focuses on controlled dynamics, dynamics attractor, attractor transformer, inference dynamics, and transformer architectures."
Deep Ensemble Clustering for Visual Representation Learning,Yuwei Wang; Guikun Chen; Xiruo Jiang; Yazhou Yao; Di Liu; Xiangbo Shu; Fumin Shen; Wenguan Wang,https://icml.cc/virtual/2026/poster/63511,Poster Session 6,"Focuses on feature extraction, ensemble clustering, visual representation, clustering core, and clustering-based backbones."
Diffeomorphism-Equivariant Neural Networks,Josephine Elisabeth Oettinger; Zakhar Shumaylov; Johannes Bostelmann; Jan Lellmann; Carola-Bibiane Schönlieb,https://icml.cc/virtual/2026/poster/62285,Poster Session 8,"Focuses on diffeomorphism-equivariant neural, networks incorporating, incorporating group, group symmetries, and symmetries equivariance."
Event2Vec: Processing neuromorphic events directly by representations in vector space,Wei Fang; Priyadarshini Panda,https://icml.cc/virtual/2026/poster/63028,,"Focuses on events directly, temporal resolution, asynchronous sparse, networks process, and irregular event."
FG-CLIP 2: A Bilingual Fine-grained Vision-Language Alignment Model,Chunyu Xie; Bin Wang; Fanjing Kong; Jincheng Li; Dawei Liang; Ji Ao; Dawei Leng; Yuhui Yin,https://icml.cc/virtual/2026/poster/65426,Poster Session 3,"Focuses on fg-clip bilingual, bilingual fine-grained, fine-grained vision-language, fine-grained alignment, and english chinese."
Flow Equivariant World Models: Structured Memory for Dynamic Environments,Hansen Lillemark; Benhao Huang; Fangneng Zhan; Yilun Du; T. Anderson Keller,https://icml.cc/virtual/2026/poster/62119,Poster Session 6,"Focuses on flow equivariant, equivariant world, world modeling, structured memory, and dynamic environments."
