title,authors,url,session,abstract_takeaway
A Geometry-Based View of Mahalanobis OOD Detection,Denis Janiak; Jakub Binkowski; Tomasz Kajdanowicz,https://icml.cc/virtual/2026/poster/62433,Poster Session 3,"Focuses on ood detection, mahalanobis ood, geometry-based view, view mahalanobis, and detection out-of-distribution."
AudioMosaic: Contrastive Masked Audio Representation Learning,Hanxun Huang; Qizhou Wang; Xingjun Ma; Cihang Xie; Christopher Leckie; Sarah Erfani,https://icml.cc/virtual/2026/poster/64345,Poster Session 2,"Focuses on computational cost, audiomosaic encoder, audiomosaic contrastive, contrastive masked, and masked audio."
Beyond Tokens: Enhancing RTL Quality Estimation via Structural Graph Learning,Yi Liu; Hongji Zhang; Yiwen Wang; Dimitrios Tsaras; Lei Chen; Mingxuan Yuan; Qiang Xu,https://icml.cc/virtual/2026/poster/61768,Poster Session 2,"Focuses on quality estimation, rtl quality, beyond tokens, tokens enhancing, and enhancing rtl."
Bio-Inspired Self-Supervised Learning for Wrist-worn IMU Signals,Prithviraj Tarale; Kiet Chu; Abhishek Varghese; Kai-Chun Liu; Maxwell Xu; Mohit Iyyer; Sunghoon Lee,https://icml.cc/virtual/2026/poster/61652,Poster Session 2,"Focuses on motion composed, bio-inspired self-supervised, self-supervised wrist-worn, wrist-worn imu, and imu signals."
Causal Structure Learning for Sparse Matrix Fill-in Reduction,Ziwei Li; Shuzi Niu; Tao Yuan; Huiyuan Li,https://icml.cc/virtual/2026/poster/63598,,"Focuses on sparse matrix, causal triplet, causal structure, structure sparse, and matrix fill-in."
DiL: Discrete-anchored Representation Alignment for Semi-Supervised Continual Learning,Nanyi Wang; Chaojie Chen; Zuoqi Tang; Jinxiang Lai; Xingcai Wu; Qi Wang,https://icml.cc/virtual/2026/poster/61498,Poster Session 6,"Focuses on semi-supervised continual, discrete anchors, dil discrete-anchored, discrete-anchored representation, and representation alignment."
Global Geometry Is Not Enough for Vision Representations,Jiwan Chung; Seon Joo Kim,https://icml.cc/virtual/2026/poster/62464,Poster Session 2,"Focuses on global geometry, representational competence, compositional binding, functional sensitivity, and embedding geometry."
IdEst: Assessing Self-Supervised Learning Representations via Intrinsic Dimension,Julie Mordacq; Vicky Kalogeiton; Steve Oudot,https://icml.cc/virtual/2026/poster/65785,Poster Session 2,"Focuses on intrinsic dimensionality, ssl representations, idest assessing, assessing self-supervised, and self-supervised representations."
Learning Sparse Visual Representations via Spatial-Semantic Factorization,Theodore Z. Zhao; Sid Kiblawi; Jianwei Yang; Naoto Usuyama; Reuben Tan; Noel Codella; Tristan Naumann; Hoifung Poon; Mu Wei,https://icml.cc/virtual/2026/poster/60574,Poster Session 2,"Focuses on augmentation alignment, sparse visual, visual representations, representations spatial-semantic, and spatial-semantic factorization."
Multiview Self-Representation Learning across Heterogeneous Views,Jie Chen; Zhu Wang; Chuanbin Liu; Xi Peng,https://icml.cc/virtual/2026/poster/65585,,"Focuses on multiview self-representation, heterogeneous views, views features, invariant representations, and large-scale unlabeled."
Rethinking Temporal Consistency in Video Object-Centric Learning: From Prediction to Correspondence,Zhiyuan Li; Rongzhen Zhao; Wenyan Yang; Wenshuai Zhao; Pekka Marttinen; Joni Pajarinen,https://icml.cc/virtual/2026/poster/63081,Poster Session 2,"Focuses on temporal consistency, video object-centric, rethinking temporal, consistency video, and object-centric prediction."
Segment-driven Structural Induction and Semantic Alignment for Heterogeneous Tabular Representation,Woojun Jung; Susik Yoon,https://icml.cc/virtual/2026/poster/60817,Poster Session 2,"Focuses on semantic alignment, header value, segment-driven structural, structural induction, and induction semantic."
Self-Supervised Learning as Discrete Communication,Kawtar Zaher; Ilyass Moummad; Olivier Buisson; Alexis Joly,https://icml.cc/virtual/2026/poster/60607,Poster Session 2,"Focuses on self-supervised discrete, discrete communication, communication most, most self-supervised, and self-supervised ssl."
SOLAR: Self-supervised Joint Learning for Symmetric Multimodal Retrieval,Wenjie Yang; Hang Yu; Yuyu Guo; Peng Di,https://icml.cc/virtual/2026/poster/61620,Poster Session 2,"Focuses on multimodal retrieval, solar self-supervised, self-supervised joint, joint symmetric, and symmetric multimodal."
SpikeCLR: Self-Supervised Contrastive Learning for Visual Representations with Spiking Neural Networks,Chengwei Zhou; Gourav Datta,https://icml.cc/virtual/2026/poster/61778,,"Focuses on spiking neural, temporal loss, spikeclr self-supervised, self-supervised contrastive, and contrastive visual."
Supervised Graph Contrastive Learning for Gene Regulatory Networks,Sho Oshima; Yuji Okamoto; Taisei Tosaki; Ryosuke Kojima,https://icml.cc/virtual/2026/poster/66761,Poster Session 2,"Focuses on graph contrastive, structural changes, supervised graph, gene regulatory, and regulatory networks."
"The Geometry of Projection Heads: Conditioning, Invariance, and Collapse",Faris Chaudhry,https://icml.cc/virtual/2026/poster/60650,,"Focuses on projection heads, geometry projection, heads conditioning, conditioning invariance, and invariance collapse."
Topology-Aware Contrastive Learning: Regulating Representation Connectivity via Persistent Homology,Jiaxin Sun; Yuhua Qian; Yang Wang,https://icml.cc/virtual/2026/poster/63450,Poster Session 2,"Focuses on topology-aware contrastive, persistent homology, positive pairs, topology-agnostic confusion, and topological connectivity."
Understanding Self-Supervised Learning via Latent Distribution Matching,Fabian A Mikulasch; Friedemann Zenke,https://icml.cc/virtual/2026/poster/61214,Poster Session 2,"Focuses on latent distribution, distribution matching, latent representations, understanding self-supervised, and self-supervised latent."
