title,authors,url,session,abstract_takeaway
Byte Pair Encoding for Efficient Time Series Forecasting,Leon Götz; Marcel Kollovieh; Stephan Günnemann; Leo Schwinn,https://icml.cc/virtual/2026/poster/64868,Poster Session 3,"Focuses on time series, byte pair, pair encoding, computational overhead, and conditional decoding."
Continuous-Time Piecewise-Linear Recurrent Neural Networks,Alena Brändle; Lukas Eisenmann; Florian Götz; Daniel Durstewitz,https://icml.cc/virtual/2026/poster/64781,Poster Session 6,"Focuses on neural odes, continuous-time piecewise-linear, piecewise-linear recurrent, recurrent neural, and networks dynamical."
Exposing Vulnerabilities in Explanation for Time Series Classifiers via Dual-Target Attacks,Bohan Wang; Zewen Liu; Lu Lin; Hui Liu; Li Xiong; Ming Jin; Wei Jin,https://icml.cc/virtual/2026/poster/66770,Poster Session 3,"Focuses on time series, exposing vulnerabilities, vulnerabilities explanation, explanation time, and series classifiers."
FlowState: Sampling-Rate‑Equivariant Time‑Series Forecasting,Lars Graf; Thomas Ortner; Stanisław Woźniak; Angeliki Pantazi,https://icml.cc/virtual/2026/poster/65805,Poster Session 6,"Focuses on sampling rates, sampling-rate equivariant, time series, flowstate sampling-rate, and equivariant time."
GHOST: Unmasking Phantom States in Mamba2 via Grouped Hidden-state Output-aware Selection & Truncation,Michael Menezes; Anastasios Kyrillidis,https://icml.cc/virtual/2026/poster/63935,Poster Session 1,"Focuses on grouped hidden-state, hidden-state output-aware, output-aware selection, selection truncation, and ghost unmasking."
HiPPO Zoo: Making Implicit State Space Memory Explicit,Jack Goffinet; Casey Hanks; David Carlson,https://icml.cc/virtual/2026/poster/61761,Poster Session 5,"Focuses on hippo zoo, state space, explicit polynomial, zoo making, and making implicit."
HypCL: Adapting CLIP in Hyperbolic Space for Continual Learning,Quan Cheng; Hao Yu; Da-Wei Zhou; Lijun Zhang,https://icml.cc/virtual/2026/poster/61473,Poster Session 3,"Focuses on clip hyperbolic, hyperbolic space, space continual, hyperbolic geometry, and hypcl adapting."
IMPACT: Influence Modeling for Open-Set Time Series Anomaly Detection,Xiaohui Zhou; Yijie Wang; Hongzuo Xu; Weixuan Liang; Xiaoli Li; Guansong Pang,https://icml.cc/virtual/2026/poster/62939,Poster Session 3,"Focuses on time series, unseen anomalies, anomaly detection, impact influence, and influence modeling."
Latent Laplace Diffusion for Irregular Multivariate Time Series,Zinuo You; Jin Zheng; John Cartlidge,https://icml.cc/virtual/2026/poster/61165,,"Focuses on latent laplace, laplace diffusion, irregular multivariate, multivariate time, and time series."
Learning Manifold and Itô Dynamics with Branched Neural Rough Differential Equations,Luke Thompson; Dai Shi; Lequan Lin; Junbin Gao; Andi Han,https://icml.cc/virtual/2026/poster/62077,Poster Session 1,"Focuses on neural rough, rough differential, differential equations, branched neural, and signature features."
Multi-Scale Wavelet Transformers for Operator Learning of Dynamical Systems,Xuesong Wang; Michael Groom; Rafael Oliveira; He Zhao; Terence O&amp;#x27;kane; Edwin V. Bonilla,https://icml.cc/virtual/2026/poster/65489,,"Focuses on dynamical systems, multi-scale wavelet, wavelet transformers, transformers operator, and operator dynamical."
One Step Forward and K Steps Back: Better Reasoning with Denoising Recursion Models,Chris Cameron; Wangzheng Wang; Nikita Ivanov; Ashmita Bhattacharyya; Didier Chételat; Yingxue Zhang,https://icml.cc/virtual/2026/poster/66090,Poster Session 1,"Focuses on denoising recursion, looped transformers, training testing, step forward, and forward steps."
ParalESN: Enabling parallel information processing in Reservoir Computing,Matteo Pinna; Giacomo Lagomarsini; Andrea Ceni; Claudio Gallicchio,https://icml.cc/virtual/2026/poster/64412,Poster Session 1,"Focuses on echo state, enabling parallel, reservoir computing, processing temporal, and high-dimensional reservoirs."
Position: Hippocampal Explicit Memory Is a Cornerstone to Human-Level AI,Sangjun Park,https://icml.cc/virtual/2026/poster/67053,Poster Session 2,"Focuses on explicit memory, hippocampal explicit, artificial neural, position hippocampal, and memory cornerstone."
QuITE: Query-based Irregular Time-series Embedding,Junghoon Lim,https://icml.cc/virtual/2026/poster/64962,Poster Session 3,"Focuses on time series, modeling imts, quite query-based, query-based irregular, and irregular time-series."
Time-series forecasting through the lens of dynamics,Alexis-Raja Brachet; Pierre-Yves Richard; Céline Hudelot,https://icml.cc/virtual/2026/poster/64363,Poster Session 1,"Focuses on time-series forecasting, lens dynamics, forecasting lens, dynamics facing, and facing homogenization."
Towards Foundation Models for Zero-Shot Time Series Anomaly Detection: Leveraging Synthetic Data and Relative Context Discrepancy,Tian Lan; Hao Le; Jinbo Li; Wenjun He; Meng Wang; Chenghao Liu; Chen Zhang,https://icml.cc/virtual/2026/poster/60604,Poster Session 6,"Focuses on foundation zero-shot, time series, series anomaly, anomaly detection, and relative context."
WaveSSM: Multiscale State-Space Models for Non-stationary Signal Attention,Ruben Solozabal; Velibor Bojkovic; Hilal AlQuabeh; Klea Ziu; Kentaro Inui; Martin Takac,https://icml.cc/virtual/2026/poster/65941,Poster Session 1,"Focuses on wavelet frames, wavessm multiscale, multiscale state-space, state-space non-stationary, and non-stationary signal."
