title,authors,url,session,abstract_takeaway
A Fourier perspective on the learning dynamics of neural networks: from sample complexities to mechanistic insights,Fabiola Ricci; Claudia Merger; Sebastian Goldt,https://icml.cc/virtual/2026/poster/64045,Poster Session 8,"Focuses on networks trained, fourier perspective, phase information, amplitudes phases, and perspective dynamics."
A Solvable High-Dimensional Model Where Nonlinear Autoencoders Learn Structure Invisible to PCA While Test Loss Misaligns With Generalization,Vicente Mendes; Lorenzo Bardone; Cédric Koller; Jorge Medina Moreira; Vittorio Erba; Emanuele Troiani; Lenka Zdeborova,https://icml.cc/virtual/2026/poster/60782,Poster Session 5,"Focuses on nonlinear autoencoders, test loss, hidden structure, latent factors, and even though."
A Task-centric Theory for Iterative Self-Improvement with Easy-to-Hard Curricula,Chenruo Liu; Yijun Dong; Yiqiu Shen; Qi Lei,https://icml.cc/virtual/2026/poster/62341,Poster Session 5,"Focuses on iterative self-improvement, easy-to-hard curricula, reasoning tasks, task-centric theory, and theory iterative."
Adaptive Preconditioners Trigger Loss Spikes in Adam,Zhiwei Bai; Zhangchen Zhou; Jiajie Zhao; Xiaolong Li; Zhiyu li; Feiyu Xiong; Hongkang Yang; Yaoyu Zhang; Zhi-Qin John Xu,https://icml.cc/virtual/2026/poster/63930,Poster Session 1,"Focuses on loss spikes, adaptive preconditioners, preconditioners trigger, trigger loss, and spikes adam."
An analytic theory of convolutional neural network inverse problems solvers,Minh Hai Nguyen; Quoc Bao; Edouard Pauwels; Pierre Weiss,https://icml.cc/virtual/2026/poster/65119,Poster Session 3,"Focuses on inverse problems, convolutional neural, analytic theory, theory convolutional, and neural network."
Approximation Theory for Lipschitz Continuous Transformers,Takashi Furuya; Davide Murari; Carola-Bibiane Schönlieb,https://icml.cc/virtual/2026/poster/64349,Poster Session 8,"Focuses on lipschitz continuous, approximation theory, theory lipschitz, continuous transformers, and transformers stability."
CREDIT: Certified Ownership Verification of Deep Neural Networks Against Model Extraction Attacks,Bolin Shen; Zhan Cheng; Neil Gong; Fan Yao; Yushun Dong,https://icml.cc/virtual/2026/poster/65463,Poster Session 7,"Focuses on credit certified, ownership verification, extraction attacks, theoretical guarantees, and verification threshold."
Data Reconstruction: Identifiability and Optimization with Sample Splitting,Yujie Shen; Zihan Wang; Jian Qian; Qi Lei,https://icml.cc/virtual/2026/poster/65863,Poster Session 8,"Focuses on sample splitting, identifiability optimization, reconstruction identifiability, optimization sample, and splitting training."
Dataset Distillation Efficiently Encodes Low-Dimensional Representations from Gradient-Based Learning of Non-Linear Tasks,Yuri Kinoshita; Naoki Nishikawa; Taro Toyoizumi,https://icml.cc/virtual/2026/poster/61872,Poster Session 5,"Focuses on dataset distillation, task structure, distillation efficiently, efficiently encodes, and encodes low-dimensional."
Decomposing Out-of-Distribution Error in Conditional Flow Matching via Wasserstein Geometry,Long HC Pham,https://icml.cc/virtual/2026/poster/61565,Poster Session 1,"Focuses on conditional flow, flow matching, decomposing out-of-distribution, out-of-distribution error, and error conditional."
